algorithm,geometry,workload,seed,git_sha,evaluation_realization_hash,checkpoint_hash,training_status,convergence_class,mean_delay_s,std_delay_s,mean_energy_j,std_energy_j,completion_ratio,completed_tasks,failed_tasks,total_tasks,max_decomposition_residual_s,invariants_passed
CoTOP,urban_manhattan,40,44,52f2d3c81f0b8843edd08594cccedbaca4888ea8,f74c03965fecf3e7e41b4732d54e704e04177dd87b19dddee22920418edb0b08,248f1682f743c05dcd7a5adf5df0bcec59abf0abfd87f8ec8134b5cfea9c6e81,CACHED_PASS,DIVERGED,0.6734195368550939,0.22954977257867396,0.6055704515853902,0.9208726502816968,1.0,1200,0,1200,2.220446049250313e-16,True
CoTOP,urban_manhattan,40,45,52f2d3c81f0b8843edd08594cccedbaca4888ea8,de5ab74b19923d9e5eab40284345ce7dcbcecbcc550a5f1575044e28d31d8c54,ec307034fa91b52fffd568d9b02e41172278e53bb0a18b7ed7acaa9cbde61dba,CACHED_PASS,DIVERGED,0.7246470339784954,0.22453964026113865,3.007548712620134,1.6659162300477426,1.0,1200,0,1200,2.220446049250313e-16,True
CoTOP,urban_manhattan,40,46,52f2d3c81f0b8843edd08594cccedbaca4888ea8,745baabb787978ecc58ecb92a4c2196b74e132fbb97bc75886f33dbed92aa824,50ba77780b2b03b1e155380487cb0b2d2607e3f79878b3505c4c0558cae7fdb9,CACHED_PASS,DIVERGED,0.7223831844878078,0.23193232077174503,4.057533319778745,1.3410062739093547,1.0,1200,0,1200,2.220446049250313e-16,True
DDQN,urban_manhattan,20,42,52f2d3c81f0b8843edd08594cccedbaca4888ea8,d688cb64053623ef6f60bc8d0bf93066a8cb59fbe31bfc34d202e94f44e7988e,8a906c31d6d7df7e5a9151d4ce4933b06078c990a030ba0afe5569766894bab0,CACHED_PASS,STABLE,0.6323351859402638,0.22117870968747513,0.3820652061134014,0.6565622808471756,1.0,600,0,600,2.220446049250313e-16,True
DDQN,urban_manhattan,20,43,52f2d3c81f0b8843edd08594cccedbaca4888ea8,edeec1eaf8f560b24fafcd3a46c26af1e979388a41bac7426e02302a3102324e,c74be58e7203f1983b4fc017c339c9d6cc54a6badb77e8507c54aac6204c13ee,CACHED_PASS,STABLE,0.6527271502502247,0.2318394230148608,0.5377336229535076,0.8586741143343268,1.0,600,0,600,1.1102230246251565e-16,True
DDQN,urban_manhattan,20,44,52f2d3c81f0b8843edd08594cccedbaca4888ea8,18ae1c6a23c3199743d0f2a16d8112912c9bf49e812d6b29b351b245bd3198a6,d303c0210766720d8ff76d314491b2f61f8569f796531f03bcf17e76df20f058,CACHED_PASS,STABLE,0.6442163081304042,0.228863462012538,0.45171356425662035,0.7327142831117569,1.0,600,0,600,2.220446049250313e-16,True
DDQN,urban_manhattan,20,45,52f2d3c81f0b8843edd08594cccedbaca4888ea8,0ab46b21d94c2822d60da4e912cd59e004953c42040f04e1a0b8f635ca799b13,5413022cc301dfde198d8a7d3fb201ccf7cb4836520e82e459386d0727b4e3e8,CACHED_PASS,STABLE,0.6384785692974826,0.22852489886675872,0.30016251007517775,0.2756653081145394,1.0,600,0,600,2.220446049250313e-16,True
DDQN,urban_manhattan,20,46,52f2d3c81f0b8843edd08594cccedbaca4888ea8,b6dacdd5b74c728a96464309a3684d236730715ec9a66916e14941c5091b2727,7fb1aaaf88d17131467be3d8dda7e079186a7d2bf0a4de49e5775f6a1e08a5ec,CACHED_PASS,STABLE,0.6421898116581591,0.2305911925554726,0.38748884258961885,0.569592239228573,1.0,600,0,600,2.220446049250313e-16,True
DDQN,urban_manhattan,30,42,52f2d3c81f0b8843edd08594cccedbaca4888ea8,6a098cf32550fb9102ec8fb276f88de46fd3908bfa194c5c17901862e6ddde2b,1d0355677096df69a4a652b6b885a3e072e5ddc0c0919834bb1547456895fa3b,CACHED_PASS,STABLE,0.6580257188104586,0.21871497623094377,0.3110251923136722,0.36214899152232766,1.0,900,0,900,2.220446049250313e-16,True
DDQN,urban_manhattan,30,43,52f2d3c81f0b8843edd08594cccedbaca4888ea8,de891d6c6c07917271c3158112cf00cd97a8d5039b1b080a985b2994e7f18ae9,3c789751e3a20373aa7e9af80f6ab7d80294ed7bf0c9d4a2cff2bbb76fcd9c86,CACHED_PASS,STABLE,0.6818141229432333,0.2182973522013918,0.310163279441009,0.32239349819498214,1.0,900,0,900,2.220446049250313e-16,True
DDQN,urban_manhattan,30,44,52f2d3c81f0b8843edd08594cccedbaca4888ea8,3bbc7dda38ff7615b0808f5425ac1b5bb0e5266fcedb04af2cdea481c0d9cc88,bd71ff46457206b3d743ea2f02cd072b4d4acd4b9ae65a416f107add169884af,CACHED_PASS,STABLE,0.6689441736119089,0.2203316088747687,0.28183869609715634,0.16311070977563585,1.0,900,0,900,2.220446049250313e-16,True
DDQN,urban_manhattan,30,45,52f2d3c81f0b8843edd08594cccedbaca4888ea8,cbf80424c44c68c0b670042bc0b28e610c7c09b0e8d498900a3a968d84452008,c23468c34f45d40b96a3624cfa5d96c1b92e09ea030e46ccf2cc67b32b7c2bd1,CACHED_PASS,STABLE,0.6653739899445966,0.2214494456903333,0.37642906669978843,0.5076146882148709,1.0,900,0,900,2.220446049250313e-16,True
DDQN,urban_manhattan,30,46,52f2d3c81f0b8843edd08594cccedbaca4888ea8,cf3dc8db2acafce398d5fd727f92aba262b576c1d3975c38908e63674f66740a,ce57776116d5ca8327cc3017b27b9bc3bd8735373ce0dcf3310d283ea7a40fff,CACHED_PASS,STABLE,0.6708160572488755,0.2281587642979095,0.2866714526745591,0.17702652550080245,1.0,900,0,900,2.220446049250313e-16,True
DDQN,urban_manhattan,40,42,52f2d3c81f0b8843edd08594cccedbaca4888ea8,794bf7c4d1e41bc5495e88ebd9d2befa7f99a8787eb53c53a12b06220a2899be,c2133e14927eb3b4c0a2d54b50f481bdee74cfc1d11bdffce7c34e904b6dee24,CACHED_PASS,STABLE,0.689827853288238,0.21532131346411423,0.2754424879054849,0.12993487365354386,1.0,1200,0,1200,2.220446049250313e-16,True
DDQN,urban_manhattan,40,43,52f2d3c81f0b8843edd08594cccedbaca4888ea8,5b0618989df60ed1d61126513d1dec38c5fed20660bc17599f7a5054f322ce36,7a817eca414dfefa87aefd7ad9b6727e9bf3834cd02589581bf355634866dd83,CACHED_PASS,STABLE,0.7058950168737887,0.2230045361655651,0.4571327636117009,0.7078613615922955,1.0,1200,0,1200,2.220446049250313e-16,True
DDQN,urban_manhattan,40,44,52f2d3c81f0b8843edd08594cccedbaca4888ea8,f74c03965fecf3e7e41b4732d54e704e04177dd87b19dddee22920418edb0b08,d817448bcc7514b03cdf3714ff8af031693c1e3858933469427ca7ce8eb2eee6,CACHED_PASS,STABLE,0.6933258606962842,0.21212598688641324,0.27869702668087615,0.1298030375979682,1.0,1200,0,1200,2.220446049250313e-16,True
DDQN,urban_manhattan,40,45,52f2d3c81f0b8843edd08594cccedbaca4888ea8,de5ab74b19923d9e5eab40284345ce7dcbcecbcc550a5f1575044e28d31d8c54,64b475e83167de7caa329a5a45f2ac0fd5c06be1f06b6cd15137f952086a3d3a,CACHED_PASS,STABLE,0.674464852439722,0.2296086705472547,0.8383867389913401,1.24393030515617,1.0,1200,0,1200,2.220446049250313e-16,True
DDQN,urban_manhattan,40,46,52f2d3c81f0b8843edd08594cccedbaca4888ea8,745baabb787978ecc58ecb92a4c2196b74e132fbb97bc75886f33dbed92aa824,04e5d5d360f20d9a50ad68b325f4707bab02ed2d306bc55e566d2154eb77fe09,CACHED_PASS,STABLE,0.7107126008661395,0.20464572635497677,0.9173793492101108,1.3955252261232667,1.0,1200,0,1200,2.220446049250313e-16,True
