algorithm,geometry,workload,seed,realization_hash,mean_delay,mean_energy,completion_ratio,N_generated,N_completed,N_failed,N_pending
Greedy,corridor_2400m,40,4,f1a93d11d03baa3ebd7e68aa8326f61ac42981de2d8776c94e3ebe089cdbb214,0.7235,4.305,1.0,400,400,0,0
Local,corridor_2400m,40,4,f1a93d11d03baa3ebd7e68aa8326f61ac42981de2d8776c94e3ebe089cdbb214,0.6832,0.1433,1.0,400,400,0,0
CoTOP,corridor_2400m,40,4,f1a93d11d03baa3ebd7e68aa8326f61ac42981de2d8776c94e3ebe089cdbb214,0.6832,0.1433,1.0,400,400,0,0
DDQN,corridor_2400m,40,4,f1a93d11d03baa3ebd7e68aa8326f61ac42981de2d8776c94e3ebe089cdbb214,0.6832,0.1433,1.0,400,400,0,0
Greedy,grid_200m,20,0,20c11357f4d1d844b7a44ea5044c04fcb20af065fe6249474ab04119eab214b9,0.2842,1.8988,1.0,200,200,0,0
Local,grid_200m,20,0,20c11357f4d1d844b7a44ea5044c04fcb20af065fe6249474ab04119eab214b9,0.2677,0.1404,1.0,200,200,0,0
CoTOP,grid_200m,20,0,20c11357f4d1d844b7a44ea5044c04fcb20af065fe6249474ab04119eab214b9,0.2677,0.1404,1.0,200,200,0,0
DDQN,grid_200m,20,0,20c11357f4d1d844b7a44ea5044c04fcb20af065fe6249474ab04119eab214b9,0.2677,0.1404,1.0,200,200,0,0
Greedy,grid_200m,20,1,8490421c85eda64a853c6814ddd2e254df30cc816592cce1d778e8380c6fe3ed,0.2777,1.8313,1.0,200,200,0,0
Local,grid_200m,20,1,8490421c85eda64a853c6814ddd2e254df30cc816592cce1d778e8380c6fe3ed,0.2619,0.1411,1.0,200,200,0,0
CoTOP,grid_200m,20,1,8490421c85eda64a853c6814ddd2e254df30cc816592cce1d778e8380c6fe3ed,0.2619,0.1411,1.0,200,200,0,0
DDQN,grid_200m,20,1,8490421c85eda64a853c6814ddd2e254df30cc816592cce1d778e8380c6fe3ed,0.2619,0.1411,1.0,200,200,0,0
Greedy,grid_200m,20,2,baaf5ad60a61abf81aa6420695172ae5a225d02d51c1d9a9e809af740910c3d9,0.2678,2.0318,1.0,200,200,0,0
Local,grid_200m,20,2,baaf5ad60a61abf81aa6420695172ae5a225d02d51c1d9a9e809af740910c3d9,0.2501,0.1422,1.0,200,200,0,0
CoTOP,grid_200m,20,2,baaf5ad60a61abf81aa6420695172ae5a225d02d51c1d9a9e809af740910c3d9,0.2501,0.1422,1.0,200,200,0,0
DDQN,grid_200m,20,2,baaf5ad60a61abf81aa6420695172ae5a225d02d51c1d9a9e809af740910c3d9,0.2501,0.1422,1.0,200,200,0,0
Greedy,grid_200m,20,3,c87ffc566d12c41fee78283f3c9d06bdd7cbaab0827f9c2786b56392a69c3dd8,0.252,1.8286,1.0,200,200,0,0
Local,grid_200m,20,3,c87ffc566d12c41fee78283f3c9d06bdd7cbaab0827f9c2786b56392a69c3dd8,0.2361,0.1363,1.0,200,200,0,0
CoTOP,grid_200m,20,3,c87ffc566d12c41fee78283f3c9d06bdd7cbaab0827f9c2786b56392a69c3dd8,0.2361,0.1363,1.0,200,200,0,0
DDQN,grid_200m,20,3,c87ffc566d12c41fee78283f3c9d06bdd7cbaab0827f9c2786b56392a69c3dd8,0.2361,0.1363,1.0,200,200,0,0
Greedy,grid_200m,20,4,589d34324abcbcb03a8e18913ab924daff3f3d52913d345a584e667191895189,0.2849,1.9476,1.0,200,200,0,0
Local,grid_200m,20,4,589d34324abcbcb03a8e18913ab924daff3f3d52913d345a584e667191895189,0.268,0.138,1.0,200,200,0,0
CoTOP,grid_200m,20,4,589d34324abcbcb03a8e18913ab924daff3f3d52913d345a584e667191895189,0.268,0.138,1.0,200,200,0,0
DDQN,grid_200m,20,4,589d34324abcbcb03a8e18913ab924daff3f3d52913d345a584e667191895189,0.268,0.138,1.0,200,200,0,0
Greedy,grid_200m,30,0,19430c329c65946bf02a543a57403f3554a924148b80e42d126aca9c1735c890,0.2914,1.837,1.0,300,300,0,0
Local,grid_200m,30,0,19430c329c65946bf02a543a57403f3554a924148b80e42d126aca9c1735c890,0.2754,0.1392,1.0,300,300,0,0
CoTOP,grid_200m,30,0,19430c329c65946bf02a543a57403f3554a924148b80e42d126aca9c1735c890,0.2937,2.0999,1.0,300,300,0,0
DDQN,grid_200m,30,0,19430c329c65946bf02a543a57403f3554a924148b80e42d126aca9c1735c890,0.2754,0.1392,1.0,300,300,0,0
Greedy,grid_200m,30,1,a4f8e883710373708659204b013aa06b55333c27b5b86ba8485b3904b24764ba,0.2926,1.8519,1.0,300,300,0,0
Local,grid_200m,30,1,a4f8e883710373708659204b013aa06b55333c27b5b86ba8485b3904b24764ba,0.2765,0.141,1.0,300,300,0,0
CoTOP,grid_200m,30,1,a4f8e883710373708659204b013aa06b55333c27b5b86ba8485b3904b24764ba,0.2765,0.141,1.0,300,300,0,0
DDQN,grid_200m,30,1,a4f8e883710373708659204b013aa06b55333c27b5b86ba8485b3904b24764ba,0.2765,0.141,1.0,300,300,0,0
Greedy,grid_200m,30,2,7e2fdfb718c2506a4403422af3116182596f1f199f0f95190c7097c71376609f,0.2794,1.9263,1.0,300,300,0,0
Local,grid_200m,30,2,7e2fdfb718c2506a4403422af3116182596f1f199f0f95190c7097c71376609f,0.2627,0.1403,1.0,300,300,0,0
CoTOP,grid_200m,30,2,7e2fdfb718c2506a4403422af3116182596f1f199f0f95190c7097c71376609f,0.2802,2.0166,1.0,300,300,0,0
DDQN,grid_200m,30,2,7e2fdfb718c2506a4403422af3116182596f1f199f0f95190c7097c71376609f,0.2627,0.1403,1.0,300,300,0,0
