episode,seed,geometry,reward,moving_avg_reward,actor_loss,critic_loss,entropy,total_loss,steps,cum_opt_steps,ep_wall_time_sec
28,0,corridor_2400m,-4020.0140615116475,-4014.4121936632387,-0.0003652058949228376,82304.7578125,-0.0,41152.37890625,600,28,4.9466
29,0,corridor_2400m,-4641.423961181252,-4036.033289094894,-0.06786736845970154,139872.21875,-0.0,69936.0390625,600,29,4.1364
30,0,corridor_2400m,-4076.6646843704875,-4037.3876689374138,-0.00023766726371832192,88015.328125,-0.0,44007.6640625,600,30,3.3982
31,0,corridor_2400m,-3717.049937591901,-4027.1013421449225,0.43741241097450256,77062.6015625,-0.0,38531.73828125,600,31,3.3368
32,0,corridor_2400m,-4931.545768111845,-4028.7736734000887,-0.0646314024925232,160031.4375,-0.0,80015.65625,600,32,4.0503
33,0,corridor_2400m,-3698.9344790264618,-4039.693865106039,0.28991252183914185,55868.81640625,-0.0,27934.697265625,600,33,4.3535
34,0,corridor_2400m,-3889.088775754881,-4015.1542229993233,-0.06530574709177017,81251.5703125,-0.0,40625.71875,600,34,4.0128
35,0,corridor_2400m,-3007.948313179614,-3990.5872744956346,0.34760522842407227,74461.5234375,-0.0,37231.109375,600,35,3.3035
36,0,corridor_2400m,-4186.457532682474,-4007.022214140717,-0.2252994328737259,74860.1171875,-0.0,37429.83203125,600,36,3.3463
37,0,corridor_2400m,-3501.709357222634,-3991.158823656509,0.3158766031265259,49303.328125,-0.0,24651.98046875,600,37,3.3136
38,0,corridor_2400m,-4157.0991689002185,-3995.0222488285294,-0.04749800264835358,98385.1484375,-0.0,49192.52734375,600,38,3.2128
39,0,corridor_2400m,-4908.222577264629,-4033.142268085137,-0.34892141819000244,167045.40625,-0.0,83522.3515625,600,39,3.2352
40,0,corridor_2400m,-3734.9820314965555,-4020.2743610412986,0.5254119634628296,82948.4140625,-0.0,41474.734375,600,40,3.2017
41,0,corridor_2400m,-4166.768794449695,-4021.0187556110945,0.054756876081228256,69627.6796875,-0.0,34813.89453125,600,41,3.4758
42,0,corridor_2400m,-4703.102151071351,-4038.041952674358,1.49330735206604,94351.9609375,-0.0,47177.47265625,600,42,3.2676
43,0,corridor_2400m,-3939.9648129797383,-4039.126627273203,-0.12408947199583054,71346.671875,-0.0,35673.2109375,600,43,3.2031
44,0,corridor_2400m,-4048.2306004134316,-4055.3926401329677,-0.006905264686793089,74893.984375,-0.0,37446.984375,600,44,3.1853
45,0,corridor_2400m,-4045.775827837994,-4033.0975194467883,0.02714637666940689,80180.375,-0.0,40090.21484375,600,45,3.1967
46,0,corridor_2400m,-3469.230047515331,-4001.279313983515,-0.2229331135749817,74162.3203125,-0.0,37080.9375,600,46,3.1636
