task_idx,delay_s,energy_j,comm_delay_s,comp_delay_s,wait_delay_s
86,0.2545824097729744,11.999416728426068,0.2481152151392606,0.005396786669344389,0.0010704079643694216
87,0.29913850910074813,13.85368274457081,0.2861662145755008,0.00650509989153355,0.0064671946337138105
88,0.29029793666503634,12.385565939571581,0.28102152424851706,0.0018306862094146009,0.007445726207104733
89,0.23905524297614023,9.505196082977882,0.23420606070531408,0.004849182270826115,0.0
90,0.24738481029140783,9.62725585600666,0.2391780306586726,0.0033575973619091337,0.004849182270826115
91,0.12260579638730079,0.05269202148856844,0.10964613990664078,0.0010319112017900408,0.01192774527886998
92,0.25831101544863305,11.606038423855237,0.24250634511243863,0.0028323758109470762,0.012972294525247362
93,0.22861653736276594,10.07616932956057,0.20710682258678387,0.00570504443978763,0.015804670336194437
94,0.21364357232519807,9.104241022671424,0.18436707711748637,0.007766780431729619,0.021509714775982066
95,0.178168355964057,7.432674963435326,0.1618467315408979,0.007045212006639741,0.009276412416519334
96,0.12966439616192188,4.89710073523805,0.11250965898948535,0.008947957539701287,0.008206779632735249
97,0.21593475112085214,8.848547528844037,0.17773047834996247,0.008927777563177957,0.029276495207711684
98,0.09422239021444875,0.17333481153989688,0.07781159982295538,0.0034511339108333466,0.012959656480660019
99,0.10073951844491223,0.5000479247653564,0.07434263808572888,0.009986089967689982,0.016410790391493364
100,6.1122473651223,0.5441662876555043,6.102584556280446,0.009662808841853998,0.0
101,5.63105828917398,12.01220886736754,5.622971918591761,0.00808637058221924,0.0
102,5.86771975297537,8.399843444116364,5.861133799384014,0.0065859535913564155,0.0
103,5.951040508958917,8.599123062858938,5.935943200188587,0.008511355178974151,0.0065859535913564155
104,6.142821297350302,0.5078795495251607,6.124225742666478,0.008932745841969918,0.009662808841853998
105,4.677364617969689,0.1539167042130857,4.656622053612326,0.0021470096735392488,0.018595554683823918
106,6.061435610296008,8.752308743085704,6.0375617252703,0.008776576255377514,0.015097308770330567
107,4.9777499303837915,7.299269653397807,4.9440456981733,0.009830347184784342,0.02387388502570808
108,5.82406862740787,12.144901939066228,5.813091567980592,0.0028906888450577865,0.00808637058221924
109,5.867121851145847,15.867161119592941,5.86360972621135,0.003512124934496843,0.0
110,3.5635401872324506,7.5692175113188656,3.547652053978092,0.0049110738270818,0.010977059427277027
111,3.5109072359503375,7.599503881391544,3.486998056519136,0.008021046176842983,0.015888133254358828
112,4.581943279461075,6.361839877669997,4.546200971483919,0.002038075766662848,0.033704232210492416
113,3.711851033346195,5.210074524235141,3.6730603659823697,0.0030483593866699335,0.03574230797715527
114,3.731609447241619,5.481875118537259,3.6846536791338016,0.008165100743992374,0.0387906673638252
115,3.4123846177289354,4.884115440524003,3.3602861205090075,0.005142729112110478,0.046955768107817576
116,2.6552294525874056,5.621571290122673,2.6273659155954245,0.003954357560779359,0.02390917943120181
117,3.157461398557119,8.855828755013755,3.1451678223566426,0.008781451265979675,0.003512124934496843
118,2.9882616296499123,8.376973971707269,2.9672407141873958,0.008727339262040034,0.012293576200476518
119,2.6731874469951378,7.286246476609794,2.6481768623211033,0.003989669211517857,0.021020915462516554
120,3.733902967879506,12.860471897204325,3.7264280978872026,0.00747486999230361,0.0
121,2.860724419891256,11.156814695064721,2.8571421964394355,0.003582223451820345,0.0
122,3.2544400999237113,9.532228034860951,3.247984220243956,0.006455879679755289,0.0
123,3.6352128629666596,8.33013644904097,3.631504314095569,0.003708548871090088,0.0
124,3.019155522151505,7.162548283345185,3.007081162099585,0.008365811180829979,0.003708548871090088
125,3.295666640355089,7.508725768919833,3.2805705143091934,0.0030217659939755946,0.012074360051920068
126,3.1908079153719724,0.24576496152282828,3.186529922125941,0.0042779932460313775,0.0
127,2.781020582538584,10.957149806199697,2.7712490666952942,0.006189292391469396,0.003582223451820345
128,2.5116282752312133,8.491150394635552,2.502007815047377,0.002145590191532379,0.00747486999230361
129,2.67848093344742,11.728010612208783,2.6755576208385183,0.0029233126089019024,0.0
130,2.049609460605129,7.985329827254851,2.036634361865134,0.0032035828967051515,0.00977151584328974
131,2.5592385890666707,6.03514191183958,2.5372501124074476,0.006892350613327645,0.015096126045895662
132,2.2641196752875965,5.2519245810308295,2.2374556624508,0.004675536177572951,0.021988476659223308
133,1.9675000786344727,4.622197846261926,1.9351969977084396,0.005639068089236947,0.026664012836796258
134,2.675905634860703,6.008110655459146,2.6419470998720085,0.0016554540626611222,0.032303080926033206
135,2.679557507462004,6.323428831138048,2.6374347496321686,0.008164222841141022,0.033958534988694326
136,2.5609582506364084,8.880184444793866,2.5442419289451177,0.007095861507454597,0.009620460183835989
137,2.328779766491238,10.409592669109,2.31837866551521,0.007477788367125551,0.0029233126089019024
138,2.189845379710844,9.480656155054737,2.178429057230849,0.0010152215039676653,0.010401100976027453
139,1.7570181190316312,7.737687090709402,1.7416299962272528,0.0039718003243833675,0.011416322479995118
140,0.8600598021660153,11.48327800740877,0.8552334864205307,0.0048263157454846075,0.0
141,0.7146565985882088,0.24051959839257608,0.7099882042612096,0.00466839432699928,0.0
142,0.760049417487868,7.229074431234963,0.7522907371983019,0.007758680289566256,0.0
143,1.0142476566668857,15.402704350783349,1.0046973001908972,0.009550356475988403,0.0
144,0.9631437899420325,14.428669741560672,0.9461199678145604,0.007473465651483704,0.009550356475988403
145,0.9719269692539705,14.37075891170326,0.9496310771950909,0.00527206993140748,0.017023822127472107
146,0.8987811225311552,13.253930115161154,0.8698444945394395,0.0066407359328360316,0.022295892058879583
147,0.8597991571162151,12.455117586775685,0.8276666691682936,0.0031958599562059496,0.02893662799171562
148,0.7076964693989728,8.104104460699668,0.7048349598933431,0.002861509505629692,0.0
149,0.8047124244769976,9.362209886174892,0.7939605637863054,0.007890351185062625,0.002861509505629692
150,0.5466678483472028,5.04680162897647,0.5353376146998682,0.0035715533577683725,0.007758680289566256
151,0.7493993315913088,10.863727561762547,0.7113359960878898,0.005930847555497456,0.03213248794792157
152,0.6070108175877253,8.688783729994755,0.562208529153321,0.006738952930985406,0.03806333550341902
153,0.7040328063551167,9.88978185976624,0.6564806007900549,0.0027499171306573835,0.044802288434404425
154,0.49574342424692464,0.297920636732478,0.48521365991725923,0.005861370002666107,0.00466839432699928
155,0.7365572890166628,10.481750733215435,0.6819968838583239,0.007008199593277178,0.04755220556506181
156,0.7207604516802448,10.116562015336019,0.6599433317940678,0.006256714727838026,0.05456040515833899
