campaign_id,attempt_id,evaluation_id,realization_id,algorithm,scenario,workload,vehicle_count,seed,git_sha,config_hash,checkpoint_hash,realization_hash,environment_manifest_sha256,timestamp_utc,status,total_tasks,completed_tasks,failed_tasks,mean_delay_s,p95_delay_s,mean_energy_j,completion_ratio_pct,collaboration_rate_pct,failure_reasons
cotop_final_2026_01,attempt_001,corridor_2400m_w20_seed44_wo_co,realization_corridor_2400m_w20_44,wo_co,corridor_2400m,20,10,44,e8cba553cad2e193c8ac5b112cf938bd532ed2f4,9885c1b7b396aa6c99cefbd5114379d2dc4f5ab8b37d4e5ac7d376cd255d20bc,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,14ea4281a04682954395e1e1aa6845d69e2bc7dd0f3e086dc18bb7136d7df259,f5b22778c21031bc99e5326ef2b146f2cda1d0c4cb2818d3c55d4dc50d004b57,2026-09-05T06:21:28.166367+00:00,SUCCESS,200,198,2,1.9523747220594847,5.094485621534351,0.27932087710099596,99.0,0.0,2_DEADLINE_EXCEEDED
cotop_final_2026_01,attempt_001,corridor_2400m_w20_seed45_CoTOP,realization_corridor_2400m_w20_45,CoTOP,corridor_2400m,20,10,45,e8cba553cad2e193c8ac5b112cf938bd532ed2f4,9885c1b7b396aa6c99cefbd5114379d2dc4f5ab8b37d4e5ac7d376cd255d20bc,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,917a40fb405e6679962755dcb8e62894731a64cd75e1843bc978d926b6b9a859,f5b22778c21031bc99e5326ef2b146f2cda1d0c4cb2818d3c55d4dc50d004b57,2026-09-05T06:21:29.281436+00:00,SUCCESS,200,195,5,1.9700946906438883,5.273410546796897,5.078070478826649,97.5,99.5,5_DEADLINE_EXCEEDED
cotop_final_2026_01,attempt_001,corridor_2400m_w20_seed45_DDQN,realization_corridor_2400m_w20_45,DDQN,corridor_2400m,20,10,45,e8cba553cad2e193c8ac5b112cf938bd532ed2f4,9885c1b7b396aa6c99cefbd5114379d2dc4f5ab8b37d4e5ac7d376cd255d20bc,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,917a40fb405e6679962755dcb8e62894731a64cd75e1843bc978d926b6b9a859,f5b22778c21031bc99e5326ef2b146f2cda1d0c4cb2818d3c55d4dc50d004b57,2026-09-05T06:21:30.332366+00:00,SUCCESS,200,196,4,1.929498116665607,5.3352215188584164,2.911081665630935,98.0,36.0,4_DEADLINE_EXCEEDED
cotop_final_2026_01,attempt_001,corridor_2400m_w20_seed45_Local,realization_corridor_2400m_w20_45,Local,corridor_2400m,20,10,45,e8cba553cad2e193c8ac5b112cf938bd532ed2f4,9885c1b7b396aa6c99cefbd5114379d2dc4f5ab8b37d4e5ac7d376cd255d20bc,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,917a40fb405e6679962755dcb8e62894731a64cd75e1843bc978d926b6b9a859,f5b22778c21031bc99e5326ef2b146f2cda1d0c4cb2818d3c55d4dc50d004b57,2026-09-05T06:21:31.436578+00:00,SUCCESS,200,197,3,1.9188162638139676,5.273410546796897,0.30973572516356246,98.5,0.0,3_DEADLINE_EXCEEDED
cotop_final_2026_01,attempt_001,corridor_2400m_w20_seed45_Greedy,realization_corridor_2400m_w20_45,Greedy,corridor_2400m,20,10,45,e8cba553cad2e193c8ac5b112cf938bd532ed2f4,9885c1b7b396aa6c99cefbd5114379d2dc4f5ab8b37d4e5ac7d376cd255d20bc,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,917a40fb405e6679962755dcb8e62894731a64cd75e1843bc978d926b6b9a859,f5b22778c21031bc99e5326ef2b146f2cda1d0c4cb2818d3c55d4dc50d004b57,2026-09-05T06:21:32.502313+00:00,SUCCESS,200,195,5,1.9367112387364558,5.302743445285519,6.817272554475994,97.5,80.5,5_DEADLINE_EXCEEDED
cotop_final_2026_01,attempt_001,corridor_2400m_w20_seed45_wo_md,realization_corridor_2400m_w20_45,wo_md,corridor_2400m,20,10,45,e8cba553cad2e193c8ac5b112cf938bd532ed2f4,9885c1b7b396aa6c99cefbd5114379d2dc4f5ab8b37d4e5ac7d376cd255d20bc,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,917a40fb405e6679962755dcb8e62894731a64cd75e1843bc978d926b6b9a859,f5b22778c21031bc99e5326ef2b146f2cda1d0c4cb2818d3c55d4dc50d004b57,2026-09-05T06:21:32.553563+00:00,SUCCESS,200,195,5,1.9322343754866347,5.273410546796897,2.706038954169413,97.5,99.5,5_DEADLINE_EXCEEDED
cotop_final_2026_01,attempt_001,corridor_2400m_w20_seed45_wo_tp,realization_corridor_2400m_w20_45,wo_tp,corridor_2400m,20,10,45,e8cba553cad2e193c8ac5b112cf938bd532ed2f4,9885c1b7b396aa6c99cefbd5114379d2dc4f5ab8b37d4e5ac7d376cd255d20bc,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,917a40fb405e6679962755dcb8e62894731a64cd75e1843bc978d926b6b9a859,f5b22778c21031bc99e5326ef2b146f2cda1d0c4cb2818d3c55d4dc50d004b57,2026-09-05T06:21:33.753499+00:00,SUCCESS,200,195,5,1.9560148599489986,5.314229160241502,5.675531312918509,97.5,100.0,5_DEADLINE_EXCEEDED
cotop_final_2026_01,attempt_001,corridor_2400m_w20_seed45_wo_co,realization_corridor_2400m_w20_45,wo_co,corridor_2400m,20,10,45,e8cba553cad2e193c8ac5b112cf938bd532ed2f4,9885c1b7b396aa6c99cefbd5114379d2dc4f5ab8b37d4e5ac7d376cd255d20bc,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,917a40fb405e6679962755dcb8e62894731a64cd75e1843bc978d926b6b9a859,f5b22778c21031bc99e5326ef2b146f2cda1d0c4cb2818d3c55d4dc50d004b57,2026-09-05T06:21:34.876971+00:00,SUCCESS,200,197,3,1.9188162638139676,5.273410546796897,0.30973572516356246,98.5,0.0,3_DEADLINE_EXCEEDED
cotop_final_2026_01,attempt_001,corridor_2400m_w20_seed46_CoTOP,realization_corridor_2400m_w20_46,CoTOP,corridor_2400m,20,10,46,e8cba553cad2e193c8ac5b112cf938bd532ed2f4,9885c1b7b396aa6c99cefbd5114379d2dc4f5ab8b37d4e5ac7d376cd255d20bc,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,65ec19e07d771d6ea3fcf1c9bfff0641c814dc2141dbcb5ef4510417a739e64a,f5b22778c21031bc99e5326ef2b146f2cda1d0c4cb2818d3c55d4dc50d004b57,2026-09-05T06:21:36.020787+00:00,SUCCESS,200,194,6,2.0586957804064827,5.639317127169247,4.0118784647725745,97.0,100.0,6_DEADLINE_EXCEEDED
cotop_final_2026_01,attempt_001,corridor_2400m_w20_seed46_DDQN,realization_corridor_2400m_w20_46,DDQN,corridor_2400m,20,10,46,e8cba553cad2e193c8ac5b112cf938bd532ed2f4,9885c1b7b396aa6c99cefbd5114379d2dc4f5ab8b37d4e5ac7d376cd255d20bc,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,65ec19e07d771d6ea3fcf1c9bfff0641c814dc2141dbcb5ef4510417a739e64a,f5b22778c21031bc99e5326ef2b146f2cda1d0c4cb2818d3c55d4dc50d004b57,2026-09-05T06:21:36.999868+00:00,SUCCESS,200,194,6,2.016003948001983,5.497404053983361,1.9826935768194855,97.0,37.0,6_DEADLINE_EXCEEDED
