seed,episode,method,reward,delay,energy,completion_ratio,violation_ratio,total_tasks,actions_taken,collab_rate
42,10,wo_co,-51.43529223990589,4.835439400830465,0.3080898231601249,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,11,cotop,-49.39079629142508,4.618016556297941,0.32106307284456864,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,11,local,-46.44485523988759,4.323743526332032,0.3207419976567275,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,11,greedy,-91.96089938431064,4.564175231186437,4.631914707244627,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,11,wo_md,-49.28532111439561,4.598333846374642,0.3301982650649186,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,11,wo_tp,-105.77738813499434,4.685753989672354,5.89198482382708,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,11,wo_co,-42.407094438669944,3.9691668220942495,0.2715426217727425,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,12,cotop,-48.79611154025296,4.559082220091403,0.3205289339338942,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,12,local,-45.00001095737759,4.2053512722901,0.29464982344766,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,12,greedy,-91.84881014502868,4.5769714049209504,4.6079096095819185,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,12,wo_md,-46.78954143818822,4.372038880962604,0.306915262856218,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,12,wo_tp,-93.49228146525154,4.138449619640299,5.210778526884856,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,12,wo_co,-47.10834003541816,4.437996482127943,0.2728375214138712,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,13,cotop,-45.5514130779331,4.2630049834484485,0.2921363243448617,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,13,local,-48.9896785561246,4.5879030487640104,0.31106480684844984,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,13,greedy,-83.59617640680153,4.099867527882422,4.259750112797732,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,13,wo_md,-47.99407342905658,4.468299075804689,0.3311082671009694,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,13,wo_tp,-99.84289854195077,4.418338276085674,5.565951578109404,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,13,wo_co,-46.74031416990575,4.389090843781913,0.2849405732086607,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,14,cotop,-48.29396802987521,4.562595359012054,0.2668014439754671,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,14,local,-47.44734724750145,4.435216279896713,0.30951844485343144,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,14,greedy,-94.69544677168369,4.720322490574788,4.749222186593582,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,14,wo_md,-48.25801829246987,4.498533495537542,0.32726833370944564,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,14,wo_tp,-97.82493313172853,4.3366731175323805,5.445820195640473,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,14,wo_co,-50.532951227932635,4.752624891733417,0.30067023105984625,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,15,cotop,-51.90247868803743,4.850843040422559,0.3394048283811844,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,15,local,-46.5444808940761,4.386763097816646,0.267684991590965,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,15,greedy,-89.63480148452803,4.37641726366728,4.5870628847855235,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,15,wo_md,-46.02836785289133,4.306085220342895,0.2967515649462379,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,15,wo_tp,-106.04165938746038,4.683918775834746,5.920247162911296,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
