seed,episode,policy,num_vehicles,num_tasks,num_completed_tasks,completion_ratio_pct,mean_total_delay_s,std_total_delay_s,mean_comm_delay_s,mean_comp_delay_s,mean_wait_delay_s,mean_total_energy_J,std_total_energy_J,mean_rsu_queue_Mcycles,max_rsu_queue_Mcycles
3,20,cotop,30,600,600,100.0,2.0017,1.4942,1.9572,0.0035,0.0409,4.4069,2.851,11.59,167.12
3,1,local,30,600,600,100.0,2.0025,1.5438,1.9422,0.0057,0.0546,0.3043,0.1317,12.54,140.07
3,2,local,30,600,600,100.0,1.9937,1.5166,1.9366,0.0055,0.0516,0.2949,0.129,11.11,130.34
3,3,local,30,600,600,100.0,1.9958,1.5132,1.9386,0.0056,0.0517,0.297,0.1311,11.52,138.2
3,4,local,30,600,600,100.0,1.9598,1.4598,1.9025,0.0054,0.0519,0.2908,0.1304,11.4,131.04
3,5,local,30,600,600,100.0,1.9566,1.4605,1.8974,0.0056,0.0536,0.3008,0.1302,11.72,131.59
3,6,local,30,600,600,100.0,1.9243,1.4619,1.8657,0.0056,0.053,0.2967,0.1317,11.64,133.11
3,7,local,30,600,600,100.0,1.9696,1.495,1.9107,0.0057,0.0532,0.302,0.1329,11.59,134.54
3,8,local,30,600,600,100.0,1.9298,1.4675,1.8711,0.0056,0.0531,0.2995,0.1347,11.6,130.65
3,9,local,30,600,600,100.0,1.981,1.5118,1.9253,0.0054,0.0503,0.2889,0.1314,11.09,125.07
3,10,local,30,600,600,100.0,1.9654,1.4914,1.9063,0.0056,0.0535,0.2978,0.1308,11.72,135.87
3,11,local,30,600,600,100.0,1.984,1.5164,1.9271,0.0053,0.0516,0.2856,0.1352,11.31,125.07
3,12,local,30,600,600,100.0,1.9905,1.5057,1.9315,0.0056,0.0534,0.3008,0.1301,11.67,139.28
3,13,local,30,600,600,100.0,1.9949,1.4892,1.9374,0.0055,0.0521,0.2938,0.127,11.46,126.79
3,14,local,30,600,600,100.0,1.9379,1.4602,1.8815,0.0054,0.051,0.2893,0.1302,11.28,133.36
3,15,local,30,600,600,100.0,1.9773,1.5232,1.9231,0.0053,0.0489,0.2825,0.1315,10.82,129.29
3,16,local,30,600,600,100.0,1.9976,1.559,1.9392,0.0055,0.0529,0.2956,0.1326,11.61,135.71
3,17,local,30,600,600,100.0,1.9616,1.4926,1.9063,0.0053,0.0501,0.2823,0.1284,10.99,131.47
3,18,local,30,600,600,100.0,1.9563,1.4554,1.8987,0.0055,0.052,0.2963,0.1327,11.34,129.38
3,19,local,30,600,600,100.0,1.9764,1.4708,1.9192,0.0055,0.0518,0.2917,0.1305,11.47,132.99
3,20,local,30,600,600,100.0,1.9749,1.4923,1.9161,0.0055,0.0532,0.2952,0.1296,11.59,143.11
3,1,greedy,30,600,600,100.0,1.9936,1.5541,1.9815,0.0031,0.0091,4.2285,1.8548,12.54,117.8
3,2,greedy,30,600,600,100.0,1.9882,1.5259,1.9769,0.003,0.0083,4.3286,1.8781,11.11,129.0
3,3,greedy,30,600,600,100.0,1.9906,1.5224,1.979,0.003,0.0085,4.3365,1.8527,11.52,113.52
3,4,greedy,30,600,600,100.0,1.9531,1.4709,1.9414,0.003,0.0087,4.1874,1.8544,11.4,113.78
3,5,greedy,30,600,600,100.0,1.9486,1.473,1.9367,0.0031,0.0088,4.2392,1.9039,11.72,124.73
3,6,greedy,30,600,600,100.0,1.9163,1.472,1.9046,0.003,0.0087,4.1825,1.8309,11.64,117.37
3,7,greedy,30,600,600,100.0,1.9619,1.5045,1.9501,0.0031,0.0087,4.243,1.8908,11.59,134.54
3,8,greedy,30,600,600,100.0,1.9206,1.478,1.9094,0.0031,0.0082,4.128,1.8318,11.6,121.41
