seed,episode,reward,actor_loss,critic_loss,entropy,completion_ratio_pct,avg_delay_s,avg_wait_delay_s,avg_energy_J,avg_queue_Mcycles,max_queue_Mcycles,total_tasks,duration_s
1,34,-1627.2041,-434.48056,54439.101562,1.94488,100.0,1.9608,0.0144,3.4633,11.25,83.93,600,16.965
1,35,-1618.7123,-430.729187,53506.625,1.944804,100.0,1.9471,0.0139,3.4486,10.95,87.56,600,16.618
1,36,-1577.6779,-419.740112,50063.101562,1.94472,100.0,1.9236,0.0147,3.3353,11.54,94.17,600,15.674
1,37,-1577.5006,-413.897217,49265.328125,1.94462,100.0,1.9332,0.0141,3.3252,11.68,92.94,600,15.411
1,38,-1636.3572,-434.992706,54408.386719,1.944498,100.0,1.949,0.0144,3.5055,11.24,111.57,600,15.652
1,39,-1597.9231,-426.833466,52201.902344,1.944355,100.0,1.9372,0.0137,3.3892,11.24,99.23,600,15.502
1,40,-1607.2057,-426.325043,51981.191406,1.944181,100.0,1.9336,0.0145,3.4238,11.47,101.65,600,15.505
1,41,-1566.167,-409.511505,48222.710938,1.943991,100.0,1.9584,0.0157,3.2621,11.63,107.87,600,13.647
1,42,-1600.5743,-423.059662,50863.578125,1.943784,100.0,1.9556,0.0147,3.3797,11.39,92.6,600,15.128
1,43,-1697.2177,-448.729492,58332.1875,1.943534,100.0,1.9755,0.013,3.6819,11.38,91.39,600,15.638
1,44,-1522.0264,-402.65152,46990.808594,1.943257,100.0,1.9059,0.0141,3.1675,11.16,106.75,600,15.79
1,45,-1599.0135,-417.8396,51139.628906,1.942951,100.0,2.0045,0.0159,3.3255,11.56,103.63,600,15.827
1,46,-1599.6939,-418.748779,50699.558594,1.942623,100.0,1.929,0.0151,3.4034,11.75,96.26,600,15.749
1,47,-1572.264,-413.736237,49125.992188,1.942248,100.0,1.944,0.0147,3.2969,11.38,98.2,600,15.678
1,48,-1596.9248,-418.802063,51491.78125,1.941811,100.0,1.9902,0.0152,3.3328,11.66,101.14,600,15.697
1,49,-1595.0372,-414.01239,50447.328125,1.941348,100.0,1.9677,0.0147,3.3491,11.25,107.47,600,15.688
1,50,-1587.8134,-414.068573,51015.464844,1.94085,100.0,1.974,0.0153,3.3187,11.76,97.44,600,15.793
2,1,-1592.0229,-424.063324,51958.777344,1.943352,100.0,1.9616,0.0171,3.3451,13.88,99.49,600,15.926
2,2,-1609.7252,-424.099457,52346.390625,1.9434,100.0,1.9607,0.0139,3.405,11.7,90.49,600,15.831
2,3,-1606.5563,-426.490021,52576.054688,1.94344,100.0,1.9352,0.0137,3.42,11.22,91.66,600,14.979
2,4,-1655.7841,-440.195404,55386.238281,1.943505,100.0,2.0056,0.0135,3.5137,11.21,89.82,600,13.705
2,5,-1665.0863,-444.506104,56240.578125,1.943549,100.0,1.9721,0.0134,3.5782,11.49,106.87,600,15.67
2,6,-1628.5309,-429.56958,53123.476562,1.943588,100.0,1.944,0.0127,3.4845,11.05,93.96,600,15.825
2,7,-1641.8332,-432.587952,53831.421875,1.943628,100.0,1.974,0.0147,3.4988,11.73,112.63,600,16.437
2,8,-1646.1247,-438.092651,55288.109375,1.943669,100.0,1.9751,0.0151,3.5119,11.82,89.76,600,16.049
2,9,-1651.542,-437.632751,55064.519531,1.943711,100.0,1.9543,0.0134,3.5508,11.28,99.51,600,16.768
