geometry,workload,workload_int,seed,CoTOP_mean_delay,CoTOP_mean_energy,CoTOP_completion_ratio,CoTOP_tasks_generated,CoTOP_tasks_completed,CoTOP_tasks_failed,CoTOP_mean_comm_delay,CoTOP_mean_comp_delay,CoTOP_mean_wait_delay,CoTOP_mean_queue_backlog,CoTOP_fail_deadline_ratio,CoTOP_fail_coverage_ratio,CoTOP_fail_dual_ratio,CoTOP_fail_departure_ratio,DDQN_mean_delay,DDQN_mean_energy,DDQN_completion_ratio,DDQN_tasks_generated,DDQN_tasks_completed,DDQN_tasks_failed,DDQN_mean_comm_delay,DDQN_mean_comp_delay,DDQN_mean_wait_delay,DDQN_mean_queue_backlog,DDQN_fail_deadline_ratio,DDQN_fail_coverage_ratio,DDQN_fail_dual_ratio,DDQN_fail_departure_ratio,delta_delay,delta_energy,delta_completion_ratio,delta_comm_delay,delta_comp_delay,delta_wait_delay,delta_queue_backlog
corridor_2400m,w40,40,42,2.100907265404109,4.150228334564739,0.9875,400,395,5,2.011421801387568,0.005447142135617272,0.08403832188092387,76371920.22882675,0.0,0.0125,0.0,0.0,2.0599817203407507,4.731987895160875,0.9925,400,397,3,2.0172393969935296,0.005180118943563874,0.03756220440365728,55636007.75437041,0.0,0.0075,0.0,0.0,0.04092554506335855,-0.5817595605961365,-0.0050000000000000044,-0.005817595605961401,0.00026702319205339827,0.04647611747726659,20735912.474456333
corridor_2400m,w40,40,43,2.070629671666795,6.766133680163481,0.9875,400,395,5,2.0169074340185635,0.004731060819273458,0.04899117682895742,48947498.34898013,0.0,0.0125,0.0,0.0,2.0607528348362574,1.226864700193913,0.9925,400,397,3,1.9615147442188683,0.005318020821072549,0.09392006979631691,119534512.1064662,0.0,0.0075,0.0,0.0,0.009876836830537528,5.5392689799695685,-0.0050000000000000044,0.05539268979969525,-0.0005869600017990913,-0.04492889296735949,-70587013.75748608
corridor_2400m,w40,40,44,2.044237306076519,5.58317457386554,0.9825,400,393,7,1.9867226127726059,0.0051354203458861035,0.05237927295802722,72032518.94049601,0.0,0.0175,0.0,0.0,2.064818600313639,6.851378163853701,0.9875,400,395,5,1.9994046486724877,0.004916001229704486,0.06049795041144687,29180490.991533175,0.0,0.0125,0.0,0.0,-0.020581294237119963,-1.2682035899881612,-0.0050000000000000044,-0.012682035899881816,0.0002194191161816175,-0.008118677453419654,42852027.94896284
corridor_2400m,w40,40,45,1.9696860760929789,6.5821291566065305,0.9925,400,397,3,1.9065703109359822,0.00502240947086098,0.058093355686135745,51457176.04307938,0.0,0.0075,0.0,0.0,1.95268033829677,0.6380296854238797,0.995,400,398,2,1.8471293162241558,0.005567219972957371,0.09998380209965708,108105350.15768684,0.0,0.005,0.0,0.0,0.017005737796208953,5.944099471182651,-0.0024999999999999467,0.0594409947118264,-0.0005448105020963911,-0.04189044641352134,-56648174.11460746
corridor_2400m,w40,40,46,2.105108109344925,4.0287307281293,0.99,400,396,4,1.972153138525557,0.005428126994541209,0.1275268438248264,95833358.236009,0.0,0.01,0.0,0.0,2.021236188567457,3.5263951163443834,0.9925,400,397,3,1.9671297824077083,0.005110196943580157,0.04899620921616856,65564084.974706195,0.0,0.0075,0.0,0.0,0.0838719207774683,0.5023356117849169,-0.0025000000000000577,0.005023356117848765,0.00031793005096105234,0.07853063460865783,30269273.261302806
grid_200m,w20,20,42,0.6595446399927812,0.9404945410358738,1.0,200,200,0,0.6129840511578197,0.005252452659760107,0.041308136175201425,48245512.98926684,0.0,0.0,0.0,0.0,0.6516546574122138,3.0115304071739444,1.0,200,200,0,0.6336944098192006,0.004793789544409313,0.013166458048604075,16754844.925566604,0.0,0.0,0.0,0.0,0.00788998258056739,-2.071035866138071,0.0,-0.020710358661380823,0.0004586631153507938,0.02814167812659735,31490668.063700236
grid_200m,w20,20,43,0.6664811819956714,3.8090125251486056,1.0,200,200,0,0.6203571017993109,0.004260206763954837,0.0418638734324056,11651531.809381215,0.0,0.0,0.0,0.0,0.6261020170604253,2.6458467556293193,1.0,200,200,0,0.6087254441041181,0.004488990158655657,0.012887582797651757,25703965.36206889,0.0,0.0,0.0,0.0,0.04037916493524607,1.1631657695192863,0.0,0.01163165769519281,-0.0002287833947008204,0.02897629063475384,-14052433.552687677
grid_200m,w20,20,44,0.6411276350756004,3.5295498141462063,1.0,200,200,0,0.6116907587077723,0.004219551915438869,0.025217324452389233,10142303.567919299,0.0,0.0,0.0,0.0,0.617657044103008,2.682382334987949,1.0,200,200,0,0.6032190839161897,0.004519588407377682,0.009918371779440579,21958422.00373932,0.0,0.0,0.0,0.0,0.02347059097259241,0.8471674791582573,0.0,0.008471674791582617,-0.00030003649193881266,0.015298952672948654,-11816118.43582002
grid_200m,w20,20,45,0.6497425732343419,3.149750576239617,1.0,200,200,0,0.619360765368098,0.0049332184379276955,0.025448589428315963,15814657.356099522,0.0,0.0,0.0,0.0,0.640349067285068,3.2411711725552976,1.0,200,200,0,0.620274971331255,0.00476390808195494,0.015310187871858241,18204096.8860741,0.0,0.0,0.0,0.0,0.009393505949273906,-0.09142059631568067,0.0,-0.0009142059631569444,0.00016931035597275539,0.010138401556457722,-2389439.529974578
grid_200m,w20,20,46,0.6357509498832262,1.8355941320347282,1.0,200,200,0,0.6150336472373062,0.004930907288265202,0.015786395357654616,41073708.23277018,0.0,0.0,0.0,0.0,0.6404318069686369,2.627452322302564,1.0,200,200,0,0.6229522291399846,0.00481483085909773,0.012664746969554521,27965567.56986414,0.0,0.0,0.0,0.0,-0.004680857085410661,-0.7918581902678359,0.0,-0.007918581902678357,0.0001160764291674712,0.003121648388100095,13108140.662906043
