algorithm,scenario,workload,n_seeds,delay_mean_s,delay_std_s,delay_median_s,delay_iqr_s,delay_min_s,delay_max_s,delay_cv,delay_ci95_lower,delay_ci95_upper,energy_mean_j,energy_std_j,energy_median_j,energy_iqr_j,energy_min_j,energy_max_j,energy_cv,energy_ci95_lower,energy_ci95_upper,completion_ratio_mean,comm_delay_mean_s,comp_delay_mean_s,wait_delay_mean_s,comm_energy_mean_j,comp_energy_mean_j,local_energy_mean_j,r2r_energy_mean_j,mean_reward
DDQN,grid_200m,w30,10,0.6584090751552198,0.022102259517209174,0.6537366980252426,0.02664383705687634,0.6334506963190218,0.7020503027739625,0.03356919026670246,0.6425980711720284,0.6742200791384113,2.2212636772984977,1.214002792283098,2.1180537936210584,1.7977432010761643,0.4740586389579342,3.690920294497068,0.5465370026486766,1.3528183959711133,3.089708958625882,1.0,0.6063449686845578,0.00484759675252771,0.0472165097181342,0.9316013602429056,0.8626479373252953,0.0861917786470128,0.42701437973029704,-431.9509128680578
DDQN,grid_200m,w40,10,0.6742434628360725,0.01874812034660099,0.6792013423594248,0.030991145414495103,0.6492926846554506,0.698915577305026,0.027806158131279034,0.6608318654721623,0.6876550601999827,2.5060895612264136,1.1938709574076198,2.589204811268881,1.5002407487135216,0.4723990933544278,3.7914420058559175,0.4763879854410994,1.6520457270070634,3.3601333954457635,1.0,0.6092859207225437,0.0047601171669520905,0.060197424946576525,1.0383959964454101,0.9808597213176584,0.07192034390968934,0.4868338434633449,-636.0666048124973
Greedy,corridor_2400m,w20,10,1.985204606736729,0.06644856915228996,2.002318782521281,0.08440013639045874,1.858527737092715,2.0639223869258982,0.03347189953458643,1.937670163901769,2.032739049571689,7.0827338789524985,0.233928592195771,7.090141531414796,0.2578820332994942,6.66648020626578,7.463506249964748,0.03302800813834444,6.915391445021259,7.250076312883738,0.983,1.9728334251947952,0.0049850263226097,0.0073861552193238995,2.8538696505719967,2.8206278921864016,0.04155219798199381,1.408236336194101,-1215.8137613776896
Greedy,corridor_2400m,w30,10,1.9920055661657965,0.059792889505347405,1.9861291788810251,0.09268138082014765,1.905307409628873,2.064162609782818,0.0300164269221579,1.9492323097302053,2.0347788226013876,7.1128511599233475,0.26096678171880006,7.101652412205651,0.41054159181752503,6.74765834440784,7.4864304339481,0.03668947597120989,6.926166770391865,7.29953554945483,0.984,1.9744120469456443,0.004964125675304,0.012629393544848152,2.865812239036911,2.832737398928796,0.04134355013514426,1.414301521957641,-1802.1844606848383
Greedy,corridor_2400m,w40,10,1.999362953512744,0.05737951436055111,2.018044401910636,0.09667721117939876,1.9205688899304916,2.068648091208271,0.028698898446497284,1.9583161216536809,2.040409785371807,7.09931725021363,0.1080564997992612,7.1198681731342335,0.14405010582900069,6.883615919339275,7.222761730657208,0.01522068897484608,7.022018286847211,7.17661621358005,0.98675,1.9767166467203647,0.00494458742189304,0.01770171937048616,2.859454190251529,2.827890525985807,0.03945458033215281,1.4119725339762956,-2302.904681768703
Greedy,grid_200m,w20,10,0.6279204275214145,0.012037461968335262,0.6283813976866628,0.01872818035910384,0.6123693063198853,0.6449875259215986,0.019170362104400145,0.6193093459720067,0.6365315090708223,3.134767501864685,0.10550200495596021,3.1322558246974905,0.1668887921573492,2.9894721004595795,3.274915328175602,0.033655448097252315,3.0592959140256877,3.2102390897036823,1.0,0.6183430909889539,0.00447215048724764,0.0051051860452129795,1.2706264348317804,1.2438753402943306,0.03343886817181234,0.6202657267385746,-376.2687929386099
Greedy,grid_200m,w30,10,0.6289316275407246,0.00822865565285844,0.6285715036239208,0.011150638209893149,0.6179937420634654,0.6439045938036014,0.013083545639188924,0.6230452018925978,0.6348180531888514,3.143686211515488,0.04307451100871293,3.13611413136937,0.04861899208368303,3.048432268708541,3.1954659887177144,0.013701911740086758,3.1128725625940956,3.1744998604368804,1.0,0.6155691940267276,0.00445099219717709,0.00891144131681984,1.272907991990753,1.2482143801754608,0.030867014769115585,0.6225638393492745,-565.8926758584322
Greedy,grid_200m,w40,10,0.6329091848618621,0.00738642381482329,0.6313886209033033,0.011516211110900398,0.6247414898926947,0.645760509070475,0.011670590333485904,0.6276252555755021,0.6381931141482221,3.152176427294631,0.04884734668025533,3.1495806245799285,0.06818063455799939,3.0858542209328097,3.2344642712871687,0.015496387276196585,3.117233140508567,3.187119714080695,1.0,0.6157467893832258,0.004423414518344691,0.012738980960291569,1.2757101819083982,1.251966804323525,0.02967922198109127,0.6244994410627079,-757.0171224312987
Local,corridor_2400m,w20,10,1.9640970493688115,0.06562705313522967,1.98172210982634,0.08517924414755473,1.83885606233674,2.04136596953117,0.03341334541300787,1.9171502836900212,2.0110438150476018,0.29671709791329315,0.010166601286384752,0.29672266689839555,0.008353168911872766,0.2793208771009959,0.3143369745217004,0.03426361796432655,0.2894443494728276,0.3039898463537587,0.985,1.9049732573844036,0.00555334730678894,0.05357044467761916,0.2670453881219638,0.02967170979132927,0.29671709791329315,0.0,-516.6512045184005
Local,corridor_2400m,w30,10,1.993117972175598,0.05929161622586592,1.9913714399326397,0.09125012887586603,1.9077061626650356,2.075603248523065,0.029748171986601405,1.9507033050422626,2.0355326393089337,0.29567306745928057,0.008331497470453817,0.2947961327162497,0.013094253165800818,0.2844911862426961,0.3093169593130452,0.028178073647513437,0.2897130732067143,0.30163306171184684,0.9853333333333334,1.9062402660210036,0.005532213295981371,0.08134549285861263,0.2661057607133525,0.029567306745928022,0.29567306745928057,0.0,-769.3661011102367
Local,corridor_2400m,w40,10,2.023629964967744,0.05675776690885592,2.0416528372884652,0.10456533605468987,1.943207806074379,2.084910773743733,0.028047502701295798,1.9830279044420207,2.0642320254934674,0.29494949427694234,0.0067008226331509045,0.2948958080537495,0.0068469862904786405,0.286589916666603,0.3102011696602906,0.022718542540911015,0.2901560145306333,0.2997429740232514,0.9882500000000001,1.9086729691609978,0.0055172552917066,0.10943974051503935,0.26545454484924813,0.029494949427694178,0.29494949427694234,0.0,-918.9131099913827
Local,grid_200m,w20,10,0.6479255248642535,0.011770896783976354,0.6496900093714826,0.017676056138522966,0.632162622676328,0.6644230876307554,0.018167052126002396,0.6395051325603681,0.6563459171681388,0.283565676066759,0.010230590745141906,0.28345886941208,0.007828216086771644,0.2661304660860628,0.3009330800544729,0.036078381865699956,0.27624715232506214,0.2908841998084558,1.0,0.5898310727309746,0.00555334730678894,0.05254110482648999,0.25520910846008305,0.02835656760667584,0.283565676066759,0.0,-93.14912009310126
Local,grid_200m,w30,10,0.672332937654875,0.008205287130133075,0.6742132509948643,0.007457879795969791,0.6584622257419317,0.6867405134553046,0.012204202219741687,0.6664632288408621,0.678202646468888,0.2824802361418005,0.008472535386555574,0.2815153007577472,0.013187208604150014,0.2713886193468348,0.2959981590241317,0.029993374057866822,0.2764193494419471,0.2885411228416539,1.0,0.5869571342729908,0.005532213295981371,0.07984359008590267,0.2542322125276204,0.028248023614180006,0.2824802361418005,0.0,-143.22197606950138
Local,grid_200m,w40,10,0.6999680083090298,0.007377717186970519,0.699147803730916,0.008823593133317487,0.6884186886081008,0.7133075561301959,0.010540077688398182,0.694690307369032,0.7052457092490276,0.28173318815525067,0.006832859898560217,0.2813982412815931,0.007219735630705659,0.2727361887412163,0.2968357317423201,0.024252946354317798,0.2768452546392856,0.28662112167121573,1.0,0.587042356991832,0.0055172552917066,0.10740839602549106,0.25355986933972563,0.028173318815525032,0.28173318815525067,0.0,-196.3402392928561
