run_id,algorithm,scenario,workload,seed,checkpoint_path,checkpoint_sha256,model_parameter_hash,realization_path,realization_sha256,git_commit,mean_delay_s,mean_energy_j,completion_ratio,action_sequence_sha256
phase7_CoTOP_corridor_2400m_w20_seed45,CoTOP,corridor_2400m,20,45,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed45\checkpoint.pt,240eb63cbb011dfe6b67599f92c21b3e237f22d3abea9d800f04721ff4968885,18aae9f75b0374859d285b2e87d3590f9ab15d78035e0a48b948927fbad00872,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_45.json,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,4e25265,1.966531049376072,7.636957061493929,0.975,cf63581eaa7fea4d2cf3bfccbe78f2af57344824149a219994e9757b2726b80d
phase7_DDQN_corridor_2400m_w20_seed45,DDQN,corridor_2400m,20,45,D:\cotop-implementation\results\phase2_multiseed\DDQN\corridor_2400m_w20_seed45\checkpoint.pt,b906f1216ebbc344df3f93551e2fbbbfd860144564a14d3cadbbd72b180d9875,ecab22223cd00f9628bdcf6dbf3c6576d85447ffe3fda9a4485cc84481b709f5,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_45.json,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,4e25265,1.9497005704358341,6.205820702136752,0.985,7c54d1a00c079f9e58aa844c1f2dd7695d2431cc556bff05f00a2fbcd61efddc
phase7_Local_corridor_2400m_w20_seed45,Local,corridor_2400m,20,45,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_45.json,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,4e25265,1.9188162638139676,0.30973572516356246,0.985,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8
phase7_Greedy_corridor_2400m_w20_seed45,Greedy,corridor_2400m,20,45,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_45.json,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,4e25265,1.9367112387364558,6.817272554475994,0.975,856ca624beba3a626ce207b599ca74be379b1df030cbdf02b8d303479fe20e79
phase7_wo_md_corridor_2400m_w20_seed45,wo_md,corridor_2400m,20,45,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed45\checkpoint.pt,240eb63cbb011dfe6b67599f92c21b3e237f22d3abea9d800f04721ff4968885,18aae9f75b0374859d285b2e87d3590f9ab15d78035e0a48b948927fbad00872,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_45.json,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,4e25265,1.966531049376072,7.636957061493929,0.975,cf63581eaa7fea4d2cf3bfccbe78f2af57344824149a219994e9757b2726b80d
phase7_wo_tp_corridor_2400m_w20_seed45,wo_tp,corridor_2400m,20,45,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed45\checkpoint.pt,240eb63cbb011dfe6b67599f92c21b3e237f22d3abea9d800f04721ff4968885,18aae9f75b0374859d285b2e87d3590f9ab15d78035e0a48b948927fbad00872,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_45.json,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,4e25265,1.966531049376072,7.636957061493929,0.975,cf63581eaa7fea4d2cf3bfccbe78f2af57344824149a219994e9757b2726b80d
phase7_wo_co_corridor_2400m_w20_seed45,wo_co,corridor_2400m,20,45,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_45.json,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,4e25265,1.9188162638139676,0.30973572516356246,0.985,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8
phase7_CoTOP_corridor_2400m_w20_seed46,CoTOP,corridor_2400m,20,46,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed46\checkpoint.pt,c04d6d773da2e4523a71e672307b263345e340bad9b2bab9dceaad44af517a58,e5e9463dfcd453ba477017f3870d840b4a98a97d881457b92073153438774e9b,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_46.json,04ef7c838e8795c5894976cdfac799704524a1893e32ae121dae50ab5b3d7343,4e25265,2.0146088881250095,4.893763607086946,0.975,4e32321ca7e20e5706b792317c4daf3e4d4c988527581c7aa7924f19e3fce6c4
phase7_DDQN_corridor_2400m_w20_seed46,DDQN,corridor_2400m,20,46,D:\cotop-implementation\results\phase2_multiseed\DDQN\corridor_2400m_w20_seed46\checkpoint.pt,78185e2889be0676adb1a59937c3475286cde45e14fdf4d222284f7d553eed57,09ebd676ba07f21eb8a8914b1b5014b6588957ffb9db08b3e9c21067579b7b02,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_46.json,04ef7c838e8795c5894976cdfac799704524a1893e32ae121dae50ab5b3d7343,4e25265,2.025479625148607,5.7821688413871195,0.98,fe8d7353946f3a5b910653744f7050d946d312a9ad6c51357bf97a02ba984642
phase7_Local_corridor_2400m_w20_seed46,Local,corridor_2400m,20,46,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_46.json,04ef7c838e8795c5894976cdfac799704524a1893e32ae121dae50ab5b3d7343,4e25265,2.0066860568603,0.2951673323208539,0.975,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8
