algorithm,scenario,workload,seed,total_tasks,completed_tasks,failed_tasks,completion_ratio,mean_delay_s,median_delay_s,std_delay_s,p5_delay_s,p95_delay_s,max_delay_s,mean_energy_j,median_energy_j,std_energy_j,p5_energy_j,p95_energy_j,max_energy_j,comm_delay_s,comp_delay_s,wait_delay_s,action_0_count,collab_count,collaboration_ratio,coverage_failures,deadline_failures,action_sequence_sha256,run_id,checkpoint_path,checkpoint_sha256,realization_path,realization_sha256,git_commit
wo_co,corridor_2400m,20,44,200,198,2,0.99,1.9523747220594847,1.6575163638071606,1.4957812422516747,0.17124839168450723,5.094485621534351,6.075384752089534,0.27932087710099596,0.27275659202527813,0.13261781556966845,0.07526607422510523,0.47800847360940246,0.5424156677141804,1.8980976667204925,0.005206798008675819,0.04907025733031627,200,0,0.0,2,0,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8,phase7_wo_co_corridor_2400m_w20_seed44,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_44.json,805b00e6ec8c010f4a340d5e45c5cce35fc48264d889b507bc198891b5bf460f,4e25265
CoTOP,corridor_2400m,20,45,200,195,5,0.975,1.966531049376072,1.6304871240813483,1.5506534892700716,0.2832483204173472,5.323170684572778,6.315519475881325,7.636957061493929,7.89825368858118,3.230140692133537,0.49722267530118364,12.117401574826014,13.435471113380858,1.932188309801275,0.005330381345153414,0.02901235822964351,0,200,1.0,5,0,cf63581eaa7fea4d2cf3bfccbe78f2af57344824149a219994e9757b2726b80d,phase7_CoTOP_corridor_2400m_w20_seed45,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed45\checkpoint.pt,240eb63cbb011dfe6b67599f92c21b3e237f22d3abea9d800f04721ff4968885,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_45.json,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,4e25265
DDQN,corridor_2400m,20,45,200,197,3,0.985,1.9497005704358341,1.6093147268128156,1.5445968338200218,0.23840456081219072,5.304021646404185,6.308538621078881,6.205820702136752,6.6119408731930385,3.855273666275065,0.2628228437055009,12.144322914966402,14.473374675083676,1.9178769462077034,0.005347239147397088,0.026476385080733623,17,183,0.915,3,0,7c54d1a00c079f9e58aa844c1f2dd7695d2431cc556bff05f00a2fbcd61efddc,phase7_DDQN_corridor_2400m_w20_seed45,D:\cotop-implementation\results\phase2_multiseed\DDQN\corridor_2400m_w20_seed45\checkpoint.pt,b906f1216ebbc344df3f93551e2fbbbfd860144564a14d3cadbbd72b180d9875,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_45.json,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,4e25265
Local,corridor_2400m,20,45,200,197,3,0.985,1.9188162638139676,1.541800322061564,1.5460353308082142,0.171546650656272,5.273410546796897,6.189436596062665,0.30973572516356246,0.32335379472582093,0.13477399588903624,0.09242263885172601,0.505655717421454,0.5508955319962452,1.8589160964379716,0.005822931283983654,0.05407723609201222,200,0,0.0,3,0,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8,phase7_Local_corridor_2400m_w20_seed45,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_45.json,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,4e25265
Greedy,corridor_2400m,20,45,200,195,5,0.975,1.9367112387364558,1.5841554048934978,1.551773588785443,0.22957484784453983,5.302743445285519,6.177032123498986,6.817272554475994,6.663039604854756,4.547235398312171,0.11663912256874964,14.521964443305473,17.280546904044296,1.9239914647310956,0.005284814553739077,0.00743495945162076,39,161,0.805,5,0,856ca624beba3a626ce207b599ca74be379b1df030cbdf02b8d303479fe20e79,phase7_Greedy_corridor_2400m_w20_seed45,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_45.json,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,4e25265
wo_md,corridor_2400m,20,45,200,195,5,0.975,1.966531049376072,1.6304871240813483,1.5506534892700716,0.2832483204173472,5.323170684572778,6.315519475881325,7.636957061493929,7.89825368858118,3.230140692133537,0.49722267530118364,12.117401574826014,13.435471113380858,1.932188309801275,0.005330381345153414,0.02901235822964351,0,200,1.0,5,0,cf63581eaa7fea4d2cf3bfccbe78f2af57344824149a219994e9757b2726b80d,phase7_wo_md_corridor_2400m_w20_seed45,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed45\checkpoint.pt,240eb63cbb011dfe6b67599f92c21b3e237f22d3abea9d800f04721ff4968885,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_45.json,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,4e25265
wo_tp,corridor_2400m,20,45,200,195,5,0.975,1.966531049376072,1.6304871240813483,1.5506534892700716,0.2832483204173472,5.323170684572778,6.315519475881325,7.636957061493929,7.89825368858118,3.230140692133537,0.49722267530118364,12.117401574826014,13.435471113380858,1.932188309801275,0.005330381345153414,0.02901235822964351,0,200,1.0,5,0,cf63581eaa7fea4d2cf3bfccbe78f2af57344824149a219994e9757b2726b80d,phase7_wo_tp_corridor_2400m_w20_seed45,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed45\checkpoint.pt,240eb63cbb011dfe6b67599f92c21b3e237f22d3abea9d800f04721ff4968885,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_45.json,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,4e25265
wo_co,corridor_2400m,20,45,200,197,3,0.985,1.9188162638139676,1.541800322061564,1.5460353308082142,0.171546650656272,5.273410546796897,6.189436596062665,0.30973572516356246,0.32335379472582093,0.13477399588903624,0.09242263885172601,0.505655717421454,0.5508955319962452,1.8589160964379716,0.005822931283983654,0.05407723609201222,200,0,0.0,3,0,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8,phase7_wo_co_corridor_2400m_w20_seed45,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_45.json,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,4e25265
CoTOP,corridor_2400m,20,46,200,195,5,0.975,2.0146088881250095,1.5558198981034936,1.5807710238273156,0.24946874003732655,5.558933688748594,6.143669986079159,4.893763607086946,5.068849079254651,4.312347145803553,0.14002601248551533,13.520827554872243,15.23556186588796,1.9957208313967407,0.005123621281448969,0.013764435446819871,73,127,0.635,5,0,4e32321ca7e20e5706b792317c4daf3e4d4c988527581c7aa7924f19e3fce6c4,phase7_CoTOP_corridor_2400m_w20_seed46,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed46\checkpoint.pt,c04d6d773da2e4523a71e672307b263345e340bad9b2bab9dceaad44af517a58,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_46.json,04ef7c838e8795c5894976cdfac799704524a1893e32ae121dae50ab5b3d7343,4e25265
DDQN,corridor_2400m,20,46,200,196,4,0.98,2.025479625148607,1.5823689821401214,1.5854431269584754,0.25101367082443127,5.569377141182483,6.199222870117685,5.7821688413871195,6.043142532398601,4.4072196785745605,0.18466063592224827,13.10245990689526,15.259244360381647,2.0046048837397428,0.005097618769424779,0.015777122639439648,34,166,0.83,4,0,fe8d7353946f3a5b910653744f7050d946d312a9ad6c51357bf97a02ba984642,phase7_DDQN_corridor_2400m_w20_seed46,D:\cotop-implementation\results\phase2_multiseed\DDQN\corridor_2400m_w20_seed46\checkpoint.pt,78185e2889be0676adb1a59937c3475286cde45e14fdf4d222284f7d553eed57,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_46.json,04ef7c838e8795c5894976cdfac799704524a1893e32ae121dae50ab5b3d7343,4e25265
