run_id,algorithm,scenario,workload,seed,status,realization_sha256,checkpoint_sha256,git_sha,tasks_generated,tasks_completed,tasks_failed,completion_ratio,mean_delay_s,std_delay_s,mean_energy_j,std_energy_j,comm_delay_s,comp_delay_s,wait_delay_s,comm_energy_j,comp_energy_j,local_energy_j,r2r_energy_j,total_reward,fail_deadlines,fail_coverages,fail_duals,fail_departures,param_immutable
corridor_2400m_CoTOP_w20_seed47,CoTOP,corridor_2400m,w20,47,COMPLETED,50af9e828670c1407dcb0ebe449032456bdc6adca8450a9be42aec0f04c41523,,441296f18f1eddf09c399ac1840827d5a48b034d,200,199,1,0.995,1.879644882768684,1.437021196948317,7.812539537215725,3.2118293397705218,1.855157605029773,0.0050527325851101,0.0194345451538008,3.1250158148862903,3.1250158148862903,0.0,1.5625079074431452,-1062.1330329728662,0,1,0,0,True
corridor_2400m_DDQN_w20_seed47,DDQN,corridor_2400m,w20,47,COMPLETED,50af9e828670c1407dcb0ebe449032456bdc6adca8450a9be42aec0f04c41523,,441296f18f1eddf09c399ac1840827d5a48b034d,200,199,1,0.995,1.879644882768684,1.437021196948317,7.812539537215725,3.2118293397705218,1.855157605029773,0.0050527325851101,0.0194345451538008,3.1250158148862903,3.1250158148862903,0.0,1.5625079074431452,-1062.1330329728662,0,1,0,0,True
corridor_2400m_Greedy_w20_seed47,Greedy,corridor_2400m,w20,47,COMPLETED,50af9e828670c1407dcb0ebe449032456bdc6adca8450a9be42aec0f04c41523,,441296f18f1eddf09c399ac1840827d5a48b034d,200,199,1,0.995,1.858527737092715,1.4439700628731735,7.08463884601108,4.28894285711557,1.847878598117726,0.0050669301418758,0.0055822088331124,2.854663170738163,2.8213709590041947,0.0416152646674604,1.4086047162687243,-984.2401777658536,0,1,0,0,True
corridor_2400m_Local_w20_seed47,Local,corridor_2400m,w20,47,COMPLETED,50af9e828670c1407dcb0ebe449032456bdc6adca8450a9be42aec0f04c41523,,441296f18f1eddf09c399ac1840827d5a48b034d,200,199,1,0.995,1.83885606233674,1.4422531630361688,0.2982780014759372,0.1382338847009069,1.780014989672375,0.0056095570315842,0.0532315156327804,0.2684502013283435,0.0298278001475937,0.2982780014759372,0.0,-310.6450545613833,0,1,0,0,True
corridor_2400m_CoTOP_w20_seed48,CoTOP,corridor_2400m,w20,48,COMPLETED,9757e1a7d84034e343dc030c3e6c8a5c6860300a600f680f82b581bd2d517bff,,441296f18f1eddf09c399ac1840827d5a48b034d,200,196,4,0.98,2.028109517036401,1.476554191224159,7.385454552109888,4.7934635753275,1.99899526147484,0.0053187490727077,0.0237955064888538,2.954181820843955,2.954181820843955,0.0,1.4770909104219776,-1318.6323530497216,0,4,0,0,True
corridor_2400m_DDQN_w20_seed48,DDQN,corridor_2400m,w20,48,COMPLETED,9757e1a7d84034e343dc030c3e6c8a5c6860300a600f680f82b581bd2d517bff,,441296f18f1eddf09c399ac1840827d5a48b034d,200,196,4,0.98,2.028109517036401,1.476554191224159,7.385454552109888,4.7934635753275,1.99899526147484,0.0053187490727077,0.0237955064888538,2.954181820843955,2.954181820843955,0.0,1.4770909104219776,-1318.6323530497216,0,4,0,0,True
corridor_2400m_Greedy_w20_seed48,Greedy,corridor_2400m,w20,48,COMPLETED,9757e1a7d84034e343dc030c3e6c8a5c6860300a600f680f82b581bd2d517bff,,441296f18f1eddf09c399ac1840827d5a48b034d,200,196,4,0.98,2.011337301883653,1.4979702885359134,7.463506249964748,4.34460570360434,1.9997757784533885,0.0053510547314713,0.0062104686987935,3.009731093805887,2.9708053436939075,0.048657187639975,1.4829698124649549,-1308.4931025076853,0,4,0,0,True
corridor_2400m_Local_w20_seed48,Local,corridor_2400m,w20,48,COMPLETED,9757e1a7d84034e343dc030c3e6c8a5c6860300a600f680f82b581bd2d517bff,,441296f18f1eddf09c399ac1840827d5a48b034d,200,196,4,0.98,1.991701198509607,1.4925906695770013,0.3143369745217004,0.1320571063392469,1.9282840856989576,0.0059010826732942,0.0575160301373549,0.2829032770695304,0.03143369745217,0.3143369745217004,0.0,-618.2248416963132,0,4,0,0,True
corridor_2400m_CoTOP_w20_seed49,CoTOP,corridor_2400m,w20,49,COMPLETED,9d50cb88a164bf17221658f0a03647330463f75de2718ebb6db631731380901a,,441296f18f1eddf09c399ac1840827d5a48b034d,200,199,1,0.995,1.9400471374969528,1.5274693792498617,6.141556662845617,5.403701479610513,1.8859567216157709,0.0048580391781109,0.0492323767030714,2.4566226651382466,2.4566226651382466,0.0,1.2283113325691233,-904.9638179730122,0,1,0,0,True
corridor_2400m_DDQN_w20_seed49,DDQN,corridor_2400m,w20,49,COMPLETED,9d50cb88a164bf17221658f0a03647330463f75de2718ebb6db631731380901a,,441296f18f1eddf09c399ac1840827d5a48b034d,200,199,1,0.995,1.9400471374969528,1.5274693792498617,6.141556662845617,5.403701479610513,1.8859567216157709,0.0048580391781109,0.0492323767030714,2.4566226651382466,2.4566226651382466,0.0,1.2283113325691233,-904.9638179730122,0,1,0,0,True
