episode,seed,geometry,reward,moving_avg_reward,actor_loss,critic_loss,entropy,total_loss,steps,cum_opt_steps,ep_wall_time_sec
21,2,corridor_2400m,-3834.6771542995175,-4198.583912281073,0.008777854032814503,73752.2421875,-0.0,36876.12890625,600,21,3.2176
22,2,corridor_2400m,-3890.1797760863756,-4184.565542454041,0.02746942825615406,101820.140625,-0.0,50910.09765625,600,22,3.1643
23,2,corridor_2400m,-4348.870977221728,-4191.709257009157,0.039426807314157486,85540.328125,-0.0,42770.203125,600,23,3.1536
24,2,corridor_2400m,-4404.183493684643,-4200.56235020397,-0.030142946168780327,84108.4765625,-0.0,42054.20703125,600,24,3.2438
25,2,corridor_2400m,-4129.836615659765,-4197.733320822201,0.025984324514865875,70205.9765625,2.406386986529373e-16,35103.015625,600,25,3.9876
26,2,corridor_2400m,-4076.264599100087,-4193.061446909813,0.018966831266880035,60720.76171875,-0.0,30360.400390625,600,26,3.9754
27,2,corridor_2400m,-4337.954595153024,-4198.427859807709,0.0022747055627405643,65817.65625,-0.0,32908.83203125,600,27,5.3749
28,2,corridor_2400m,-3823.3619839999037,-4185.03264995743,-0.00808725319802761,45828.61328125,1.6274253486162304e-21,22914.298828125,600,28,4.4565
29,2,corridor_2400m,-4218.658246557866,-4186.19215328848,-0.01710435561835766,63298.07421875,-0.0,31649.01953125,600,29,4.183
30,2,corridor_2400m,-5336.962538911455,-4224.551166142579,-0.030451280996203423,198892.5,-0.0,99446.21875,600,30,3.4131
31,2,corridor_2400m,-4041.2780691951425,-4227.988068806793,-0.6753674149513245,56394.953125,-0.0,28196.80078125,600,31,3.336
32,2,corridor_2400m,-3935.7230941376397,-4192.967108685631,-0.0005192062235437334,48815.62890625,-0.0,24407.814453125,600,32,4.1808
33,2,corridor_2400m,-3926.591017002548,-4190.484021768688,-0.009892011061310768,65406.921875,-0.0,32703.451171875,600,33,4.391
34,2,corridor_2400m,-4183.757816817754,-4187.373263436383,-0.945298433303833,57503.4921875,-0.0,28750.80078125,600,34,3.7715
35,2,corridor_2400m,-3472.428963335077,-4157.980493339276,0.01846577413380146,39486.59375,-0.0,19743.314453125,600,35,3.2975
36,2,corridor_2400m,-3710.2005516958206,-4143.851128243984,-0.4631064236164093,43260.22265625,-0.0,21629.6484375,600,36,3.5194
37,2,corridor_2400m,-4850.706639836638,-4169.799799714512,-0.781318187713623,101422.3515625,-0.0,50710.39453125,600,37,3.2051
38,2,corridor_2400m,-3760.7163144201036,-4152.749471304352,0.0014017372159287333,60154.37890625,-0.0,30077.19140625,600,38,3.2671
39,2,corridor_2400m,-4504.077076604389,-4154.108342198909,0.10358487814664841,59936.90625,-0.0,29968.556640625,600,39,3.2541
40,2,corridor_2400m,-4662.641961255899,-4155.956816035472,-0.04971655085682869,72717.59375,-0.0,36358.74609375,600,40,3.4029
41,2,corridor_2400m,-3945.2442065322525,-4147.232960148324,-0.7589152455329895,44368.15625,-0.0,22183.318359375,600,41,3.3147
42,2,corridor_2400m,-3972.6468911008565,-4150.528631547779,-0.9675504565238953,49903.00390625,-0.0,24950.53515625,600,42,3.3159
43,2,corridor_2400m,-3649.4724259656896,-4114.63788558786,0.03340859338641167,44299.5703125,-0.0,22149.818359375,600,43,3.1867
44,2,corridor_2400m,-3957.547863899262,-4108.909292902115,-0.018589895218610764,60181.93359375,-0.0,30090.947265625,600,44,3.2216
45,2,corridor_2400m,-3846.5118263952754,-4106.542289575139,0.29502347111701965,38405.69140625,-0.0,19203.140625,600,45,3.1894
46,2,corridor_2400m,-4357.389963676623,-4124.126326233326,-0.35738763213157654,61552.57421875,-0.0,30775.9296875,600,46,3.1772
