algorithm,scenario,workload,num_runs,delay_mean_s,delay_median_s,delay_std_s,delay_p5_s,delay_p25_s,delay_p75_s,delay_p95_s,delay_min_s,delay_max_s,delay_ci95_s,energy_mean_j,energy_median_j,energy_std_j,energy_p5_j,energy_p25_j,energy_p75_j,energy_p95_j,energy_min_j,energy_max_j,energy_ci95_j,total_tasks,completed_tasks,failed_tasks,completion_ratio,coverage_failures,deadline_failures
DDQN,grid_200m,30,10,0.6399441125874006,0.6383291748474176,0.009819030711558837,0.6279020938160119,0.6322581673062432,0.6481531770628821,0.6530029715366206,0.6267473807986372,0.6544276327200478,0.007024111429451664,2.428203936957215,2.3421456479799927,0.3421599245158223,2.110721532197527,2.286301757989489,2.4881411931187634,2.971371840278911,2.0659312180316025,3.308175915805052,0.24476646494879478,3000,3000,0,1.0,0,0
DDQN,grid_200m,40,10,0.6629487915354684,0.6633106326182747,0.012032288435113147,0.6454193096357209,0.6557551341665667,0.6712143113423722,0.6786282290447911,0.6453076792844741,0.679435241315156,0.008607380626689152,1.3890309933733516,1.1045947867969763,0.6667349108378798,1.0047753577884873,1.0694633016891637,1.1470634446274017,2.6516028095822115,0.9646814293227892,2.920784566520928,0.4769534229196127,4000,4000,0,1.0,0,0
Greedy,corridor_2400m,20,10,1.985204606736729,2.002318782521281,0.06644856915228996,1.8786226196866036,1.9474296575193981,2.0318297939098566,2.0552310339356428,1.858527737092715,2.0639223869258982,0.047534442834959896,7.0827338789524985,7.090141531414796,0.233928592195771,6.7343367629603765,6.976154352692798,7.234036385992292,7.381397811027402,6.66648020626578,7.463506249964748,0.1673424339312401,2000,1966,34,0.983,34,0
Greedy,corridor_2400m,30,10,1.9920055661657965,1.9861291788810251,0.059792889505347405,1.907804306717949,1.9526286066589544,2.045309987479102,2.0620590739454685,1.905307409628873,2.064162609782818,0.04277325643559114,7.1128511599233475,7.101652412205651,0.26096678171880006,6.804609446686238,6.89393059393288,7.304472185750405,7.477924678807181,6.74765834440784,7.4864304339481,0.18668438953148261,3000,2952,48,0.984,48,0
Greedy,corridor_2400m,40,10,1.999362953512744,2.018044401910636,0.05737951436055111,1.9206317313492633,1.9448308661562115,2.0415080773356102,2.064894637503828,1.9205688899304916,2.068648091208271,0.04104683185906316,7.09931725021363,7.1198681731342335,0.1080564997992612,6.934139069556075,7.033620167174178,7.177670273003178,7.219497365237721,6.883615919339275,7.222761730657208,0.07729896336641924,4000,3947,53,0.98675,53,0
Greedy,grid_200m,20,10,0.6279204275214145,0.6283813976866628,0.012037461968335262,0.6131195654177919,0.6173710194914319,0.6360991998505356,0.6449402198254647,0.6123693063198853,0.6449875259215986,0.008611081549407859,3.134767501864685,3.1322558246974905,0.10550200495596021,2.9957702779447866,3.0530717960754785,3.2199605882328277,3.2748614689803053,2.9894721004595795,3.274915328175602,0.07547158783899742,2000,2000,0,1.0,0,0
Greedy,grid_200m,30,10,0.6289316275407246,0.6285715036239208,0.00822865565285844,0.6181423816382153,0.6236433625965752,0.6347940008064683,0.6399982741964242,0.6179937420634654,0.6439045938036014,0.005886425648126834,3.143686211515488,3.13611413136937,0.04307451100871293,3.0835412041188994,3.127834374061039,3.176453366144722,3.193556742231239,3.048432268708541,3.1954659887177144,0.030813648921392215,3000,3000,0,1.0,0,0
Greedy,grid_200m,40,10,0.6329091848618621,0.6313886209033033,0.00738642381482329,0.624879162960146,0.6267265166586775,0.6382427277695779,0.6439297961484293,0.6247414898926947,0.645760509070475,0.005283929286360022,3.152176427294631,3.1495806245799285,0.04884734668025533,3.088777682691898,3.120369394433546,3.1885500289915454,3.2159373068549666,3.0858542209328097,3.2344642712871687,0.03494328678606387,4000,4000,0,1.0,0,0
Local,corridor_2400m,20,10,1.9640970493688115,1.98172210982634,0.06562705313522967,1.8590139872658036,1.9272058783753472,2.012385122522902,2.032422205022048,1.83885606233674,2.04136596953117,0.0469467656787903,0.29671709791329315,0.29672266689839555,0.010166601286384752,0.2831008957209521,0.29123128351534977,0.29958445242722254,0.3122664123105383,0.2793208771009959,0.3143369745217004,0.007272748440465575,2000,1970,30,0.985,30,0
Local,corridor_2400m,30,10,1.993117972175598,1.9913714399326397,0.05929161622586592,1.9113462018810172,1.9513364094945471,2.0425865383704127,2.0661903156674346,1.9077061626650356,2.075603248523065,0.042414667133335505,0.29567306745928057,0.2947961327162497,0.008331497470453817,0.28517396615594903,0.2892889200752757,0.3023831732410765,0.30708156883131205,0.2844911862426961,0.3093169593130452,0.005959994252566262,3000,2956,44,0.9853333333333333,44,0
Local,corridor_2400m,40,10,2.023629964967744,2.0416528372884652,0.05675776690885592,1.945579931600473,1.9694605344061453,2.074025870460835,2.084691523027244,1.943207806074379,2.084910773743733,0.04060206052572335,0.29494949427694234,0.2948958080537495,0.0067008226331509045,0.2874468553424927,0.2906774174999672,0.2975244037904458,0.30491715337378417,0.286589916666603,0.3102011696602906,0.004793479746309033,4000,3953,47,0.98825,47,0
Local,grid_200m,20,10,0.6479255248642535,0.6496900093714826,0.011770896783976354,0.6326895717267537,0.6374860393582213,0.6551620954967443,0.6640545977905694,0.632162622676328,0.6644230876307554,0.008420392303885372,0.283565676066759,0.28345886941208,0.010230590745141906,0.2697213460339801,0.2784130050660366,0.28624122115280826,0.29918790005842083,0.2661304660860628,0.3009330800544729,0.00731852374169683,2000,2000,0,1.0,0,0
Local,grid_200m,30,10,0.672332937654875,0.6742132509948643,0.008205287130133075,0.6599070345182593,0.6688045013513946,0.6762623811473643,0.6829381201859622,0.6584622257419317,0.6867405134553046,0.005869708814012911,0.2824802361418005,0.2815153007577472,0.008472535386555574,0.27173964728079925,0.2758279566773715,0.2890151652815215,0.29403564482648187,0.2713886193468348,0.2959981590241317,0.006060886699853364,3000,3000,0,1.0,0,0
Local,grid_200m,40,10,0.6999680083090298,0.699147803730916,0.007377717186970519,0.6901051961598791,0.6956022425965414,0.7044258357298587,0.710321926888778,0.6884186886081008,0.7133075561301959,0.005277700939997826,0.28173318815525067,0.2813982412815931,0.006832859898560217,0.2737324334523372,0.27766883269763015,0.2848885683283358,0.2917539308227806,0.2727361887412163,0.2968357317423201,0.004887933515965066,4000,4000,0,1.0,0,0
wo_co,corridor_2400m,20,10,1.9640970493688115,1.98172210982634,0.06562705313522967,1.8590139872658036,1.9272058783753472,2.012385122522902,2.032422205022048,1.83885606233674,2.04136596953117,0.0469467656787903,0.29671709791329315,0.29672266689839555,0.010166601286384752,0.2831008957209521,0.29123128351534977,0.29958445242722254,0.3122664123105383,0.2793208771009959,0.3143369745217004,0.007272748440465575,2000,1970,30,0.985,30,0
wo_co,corridor_2400m,30,10,1.993117972175598,1.9913714399326397,0.05929161622586592,1.9113462018810172,1.9513364094945471,2.0425865383704127,2.0661903156674346,1.9077061626650356,2.075603248523065,0.042414667133335505,0.29567306745928057,0.2947961327162497,0.008331497470453817,0.28517396615594903,0.2892889200752757,0.3023831732410765,0.30708156883131205,0.2844911862426961,0.3093169593130452,0.005959994252566262,3000,2956,44,0.9853333333333333,44,0
wo_co,corridor_2400m,40,10,2.023629964967744,2.0416528372884652,0.05675776690885592,1.945579931600473,1.9694605344061453,2.074025870460835,2.084691523027244,1.943207806074379,2.084910773743733,0.04060206052572335,0.29494949427694234,0.2948958080537495,0.0067008226331509045,0.2874468553424927,0.2906774174999672,0.2975244037904458,0.30491715337378417,0.286589916666603,0.3102011696602906,0.004793479746309033,4000,3953,47,0.98825,47,0
wo_co,grid_200m,20,10,0.6479255248642535,0.6496900093714826,0.011770896783976354,0.6326895717267537,0.6374860393582213,0.6551620954967443,0.6640545977905694,0.632162622676328,0.6644230876307554,0.008420392303885372,0.283565676066759,0.28345886941208,0.010230590745141906,0.2697213460339801,0.2784130050660366,0.28624122115280826,0.29918790005842083,0.2661304660860628,0.3009330800544729,0.00731852374169683,2000,2000,0,1.0,0,0
wo_co,grid_200m,30,10,0.672332937654875,0.6742132509948643,0.008205287130133075,0.6599070345182593,0.6688045013513946,0.6762623811473643,0.6829381201859622,0.6584622257419317,0.6867405134553046,0.005869708814012911,0.2824802361418005,0.2815153007577472,0.008472535386555574,0.27173964728079925,0.2758279566773715,0.2890151652815215,0.29403564482648187,0.2713886193468348,0.2959981590241317,0.006060886699853364,3000,3000,0,1.0,0,0
wo_co,grid_200m,40,10,0.6999680083090298,0.699147803730916,0.007377717186970519,0.6901051961598791,0.6956022425965414,0.7044258357298587,0.710321926888778,0.6884186886081008,0.7133075561301959,0.005277700939997826,0.28173318815525067,0.2813982412815931,0.006832859898560217,0.2737324334523372,0.27766883269763015,0.2848885683283358,0.2917539308227806,0.2727361887412163,0.2968357317423201,0.004887933515965066,4000,4000,0,1.0,0,0
wo_md,corridor_2400m,20,10,2.0078354686565105,2.0155393117517573,0.06467187374594359,1.9057288767900555,1.977402426154934,2.0581116649056783,2.080779053703216,1.881505561406524,2.0885961722133977,0.04626347150622367,5.490217500368689,5.078347934351472,1.484873517183675,3.9224032535505944,4.368621787337214,6.542155587478662,7.780693318544343,3.8472302080975296,7.898295710676502,1.0622145250102923,2000,1966,34,0.983,34,0
wo_md,corridor_2400m,30,10,2.055578007916136,2.053345875492946,0.06383395749356781,1.9782733131323602,1.9988636421464516,2.1049956233562273,2.144171445417002,1.975300350364665,2.1544712814666696,0.045664062328461597,7.202901965452641,7.937122919027413,2.085459960389986,3.868370146429311,7.658311013652932,8.082010563320775,8.184060590664911,1.363780730840462,8.23102744791549,1.4918481847902854,3000,2949,51,0.983,51,0
wo_md,corridor_2400m,40,10,2.0479283434503373,2.0507688353620717,0.05704083070801097,1.9710847145304182,2.0018424519240474,2.0933378669697804,2.1210006598342477,1.9696860760929789,2.1340036556891477,0.0408045521692792,5.09798604552329,4.978634002138637,0.9714898921198798,4.083404651025248,4.309592963956948,5.497280977053636,6.683331644562853,4.0287307281293,6.766133680163481,0.694962003408652,4000,3938,62,0.9845,62,0
wo_md,grid_200m,20,10,0.6474817863597291,0.6477167179110315,0.012432178086608436,0.6319777800603268,0.6370951211813198,0.6570941233031714,0.6646648603148345,0.630461388604193,0.6664811819956714,0.008893444450512508,1.7949075159719239,0.9680924486390612,1.2165028752578722,0.9022365238025233,0.9395534598820938,2.821211465188395,3.6832543051975257,0.8807451535015925,3.8090125251486056,0.8702337329488888,2000,2000,0,1.0,0,0
wo_md,grid_200m,30,10,0.6695601711731599,0.6708117323557642,0.013480959673455712,0.6495364117533355,0.6627632470534192,0.6787187879510665,0.686266655368374,0.6439022006689968,0.6898276040541297,0.00964369760151858,3.0021741011429732,3.3362833137226557,0.9375550395331339,1.2967470166540043,3.269743668849726,3.400420346162675,3.6533356045806213,0.6363761338395937,3.72400282486833,0.6706864722576269,3000,3000,0,1.0,0,0
wo_md,grid_200m,40,10,0.6794147329550104,0.6830692894077863,0.016871716088758024,0.656188398276209,0.6642907142761554,0.6905424241654194,0.7003279155073112,0.6544656745429421,0.7034457133736602,0.012069298619669424,1.624881719925991,0.9875612129334317,1.0338516077647861,0.9193506608403373,0.9614589379484338,2.3461440017280557,3.300539878089178,0.9135009753326436,3.4346889685064697,0.7395728873634145,4000,4000,0,1.0,0,0
wo_tp,corridor_2400m,20,10,2.0078354686565105,2.0155393117517573,0.06467187374594359,1.9057288767900555,1.977402426154934,2.0581116649056783,2.080779053703216,1.881505561406524,2.0885961722133977,0.04626347150622367,5.490217500368689,5.078347934351472,1.484873517183675,3.9224032535505944,4.368621787337214,6.542155587478662,7.780693318544343,3.8472302080975296,7.898295710676502,1.0622145250102923,2000,1966,34,0.983,34,0
wo_tp,corridor_2400m,30,10,2.055578007916136,2.053345875492946,0.06383395749356781,1.9782733131323602,1.9988636421464516,2.1049956233562273,2.144171445417002,1.975300350364665,2.1544712814666696,0.045664062328461597,7.202901965452641,7.937122919027413,2.085459960389986,3.868370146429311,7.658311013652932,8.082010563320775,8.184060590664911,1.363780730840462,8.23102744791549,1.4918481847902854,3000,2949,51,0.983,51,0
wo_tp,corridor_2400m,40,10,2.0479283434503373,2.0507688353620717,0.05704083070801097,1.9710847145304182,2.0018424519240474,2.0933378669697804,2.1210006598342477,1.9696860760929789,2.1340036556891477,0.0408045521692792,5.09798604552329,4.978634002138637,0.9714898921198798,4.083404651025248,4.309592963956948,5.497280977053636,6.683331644562853,4.0287307281293,6.766133680163481,0.694962003408652,4000,3938,62,0.9845,62,0
wo_tp,grid_200m,20,10,0.6474817863597291,0.6477167179110315,0.012432178086608436,0.6319777800603268,0.6370951211813198,0.6570941233031714,0.6646648603148345,0.630461388604193,0.6664811819956714,0.008893444450512508,1.7949075159719239,0.9680924486390612,1.2165028752578722,0.9022365238025233,0.9395534598820938,2.821211465188395,3.6832543051975257,0.8807451535015925,3.8090125251486056,0.8702337329488888,2000,2000,0,1.0,0,0
wo_tp,grid_200m,30,10,0.6695601711731599,0.6708117323557642,0.013480959673455712,0.6495364117533355,0.6627632470534192,0.6787187879510665,0.686266655368374,0.6439022006689968,0.6898276040541297,0.00964369760151858,3.0021741011429732,3.3362833137226557,0.9375550395331339,1.2967470166540043,3.269743668849726,3.400420346162675,3.6533356045806213,0.6363761338395937,3.72400282486833,0.6706864722576269,3000,3000,0,1.0,0,0
wo_tp,grid_200m,40,10,0.6794147329550104,0.6830692894077863,0.016871716088758024,0.656188398276209,0.6642907142761554,0.6905424241654194,0.7003279155073112,0.6544656745429421,0.7034457133736602,0.012069298619669424,1.624881719925991,0.9875612129334317,1.0338516077647861,0.9193506608403373,0.9614589379484338,2.3461440017280557,3.300539878089178,0.9135009753326436,3.4346889685064697,0.7395728873634145,4000,4000,0,1.0,0,0
