task_index,action,case,delay_s,energy_j,comm_delay_s,comp_delay_s,wait_delay_s,completed,failure_reason
125,5,2,3.283592280303169,7.508725768919833,3.2805705143091934,0.0030217659939755946,0.0,True,NONE
126,3,2,3.300956242643807,11.260597688706294,3.2966782493977758,0.0042779932460313775,0.0,True,NONE
127,1,2,2.791532302297064,12.366544127229746,2.7853430099055947,0.006189292391469396,0.0,True,NONE
128,1,2,2.5359169322731354,11.04857385891124,2.527582049690134,0.002145590191532379,0.006189292391469396,True,NONE
129,1,2,2.686815816030422,11.728010612208783,2.6755576208385183,0.0029233126089019024,0.008334882583001775,True,NONE
130,5,2,2.009538348627955,4.653193614468871,2.0033129997372745,0.0032035828967051515,0.0030217659939755946,True,NONE
131,5,2,2.550367811911456,6.03514191183958,2.5372501124074476,0.006892350613327645,0.0062253488906807465,True,NONE
132,5,2,2.2552488981323817,5.2519245810308295,2.2374556624508,0.004675536177572951,0.01311769950400839,True,NONE
133,1,2,1.9942883160181084,8.841603349114745,1.9773910527369678,0.005639068089236947,0.011258195191903677,True,NONE
134,5,2,2.6613957896162512,6.008110655459146,2.6419470998720085,0.0016554540626611222,0.01779323568158134,True,NONE
135,1,2,2.7200015269945195,12.073957955145016,2.694940040872238,0.008164222841141022,0.016897263281140624,True,NONE
136,1,2,2.6024052065673433,11.480777444042781,2.570247858937607,0.007095861507454597,0.025061486122281647,True,NONE
137,1,2,2.3580138015120724,10.409592669109,2.31837866551521,0.007477788367125551,0.032157347629736245,True,NONE
138,1,2,2.2190794147316786,9.480656155054737,2.178429057230849,0.0010152215039676653,0.039635135996861796,True,NONE
139,3,2,1.7322578676172027,5.97549487266291,1.724008074046788,0.0039718003243833675,0.0042779932460313775,True,NONE
140,6,2,0.8944288640000573,14.920184190812964,0.8896025482545726,0.0048263157454846075,0.0,True,NONE
141,3,2,0.8049798487568246,9.272844615254154,0.8003114544298253,0.00466839432699928,0.0,True,NONE
142,5,2,0.8109562794628407,12.319760628732219,0.8031975991732744,0.007758680289566256,0.0,True,NONE
143,0,1,0.8650813444958484,0.48607313367961874,0.8555309880198599,0.009550356475988403,0.0,True,NONE
144,0,1,0.8226743904089958,0.38172978825700044,0.8056505682815237,0.007473465651483704,0.009550356475988403,True,NONE
145,5,2,0.9626618274160647,14.37075891170326,0.9496310771950909,0.00527206993140748,0.007758680289566256,True,NONE
146,0,1,0.7643641893776858,0.33944379295497534,0.7406996313173777,0.0066407359328360316,0.017023822127472107,True,NONE
147,5,2,0.8438932793454733,12.455117586775685,0.8276666691682936,0.0031958599562059496,0.013030750220973737,True,NONE
148,5,2,0.7533974190936569,11.051538412450117,0.7343092994108475,0.002861509505629692,0.016226610177179687,True,NONE
149,1,1,0.735908985170051,0.40156110001237805,0.7043540759246802,0.007890351185062625,0.023664558060308136,True,NONE
150,5,2,0.5942231200071452,8.669384855646399,0.5715634469665675,0.0035715533577683725,0.019088119682809376,True,NONE
151,5,2,0.7399265166839649,10.863727561762547,0.7113359960878898,0.005930847555497456,0.022659673040577748,True,NONE
152,5,2,0.5975380026803816,8.688783729994755,0.562208529153321,0.006738952930985406,0.028590520596075204,True,NONE
153,1,1,0.5933184684979615,0.1430859929540885,0.5590136421219334,0.0027499171306573835,0.03155490924537076,True,NONE
154,0,1,0.5253798562959535,0.297920636732478,0.48521365991725923,0.005861370002666107,0.03430482637602814,True,NONE
155,1,1,0.6279159464498273,0.35621739516863743,0.5807415504778559,0.007008199593277178,0.04016619637869425,True,NONE
156,6,2,0.6840282930010639,11.416755088703365,0.6729452625277413,0.006256714727838026,0.0048263157454846075,True,NONE
157,2,2,0.465107031545793,4.525953163957535,0.45786148323510156,0.00724554831069147,0.0,True,NONE
158,2,2,0.42360411244407403,4.139485387795866,0.40772353700721764,0.008635027126164938,0.00724554831069147,True,NONE
159,3,2,0.5014173820846417,5.8298557555707,0.4910873680036488,0.0056616197539936675,0.00466839432699928,True,NONE
160,2,2,1.641648524274607,11.612902919047931,1.638673729563014,0.002974794711592926,0.0,True,NONE
161,0,1,1.6177538908550504,0.14042281392432115,1.6152684882742188,0.0024854025808315793,0.0,True,NONE
162,0,1,1.3611855117913465,0.23413962062899102,1.3542881744328217,0.004411934777693256,0.0024854025808315793,True,NONE
163,0,1,1.3341699850507056,0.21449076948226103,1.3232474817988953,0.004025165893285442,0.0068973373585248365,True,NONE
164,0,1,1.3786422978113544,0.3436268272574369,1.3611194819107775,0.006600312648766582,0.01092250325181028,True,NONE
165,0,1,1.2783779017678711,0.2208583537687536,1.2566892566432477,0.004165829224046422,0.01752281590057686,True,NONE
166,0,1,1.6282970200506253,0.16412051034850508,1.6036466940578435,0.002961680868158533,0.021688645124623283,True,NONE
167,1,2,1.8590879109355578,14.998307461238548,1.8495070378893268,0.009580873046230957,0.0,True,NONE
168,1,2,1.791258445601671,14.092579222284591,1.7791674702651297,0.0025101022903102205,0.009580873046230957,True,NONE
169,1,2,1.865379535746296,14.666726573764976,1.8504943142684918,0.0027942461412627964,0.012090975336541177,True,NONE
170,1,2,1.7366859460861679,13.806116279527876,1.714934932711169,0.0068657918971950045,0.014885221477803974,True,NONE
171,5,2,1.5968311334381629,6.698934606982948,1.5948003375957527,0.0020307958424100794,0.0,True,NONE
172,5,2,1.1536147427774768,4.817754361644988,1.1504094973516166,0.0011744495834500961,0.0020307958424100794,True,NONE
173,1,2,1.5966339666398093,12.538276705136003,1.5707333101713286,0.004149643093481655,0.02175101337499898,True,NONE
174,5,2,1.3682822711865636,5.918361335495077,1.359161834973099,0.005915190787604552,0.0032052454258601755,True,NONE
175,1,2,1.3963655656736196,11.116356569727742,1.3619775906387415,0.008487318566397454,0.025900656468480634,True,NONE
176,6,1,1.0866883684492417,0.40309523830316635,1.0541869750854136,0.007851067371046244,0.02465032599278182,True,NONE
177,1,2,0.9312921375191064,7.13103611137911,0.8947681737103604,0.002135988773867856,0.03438797503487809,True,NONE
178,2,2,0.9041020701531118,6.565731402098835,0.8950477475942961,0.0060795278472229675,0.002974794711592926,True,NONE
179,3,2,0.8891474910477845,5.5443918763225515,0.8869261956627095,0.0022212953850750785,0.0,True,NONE
180,6,2,2.133875032461982,17.100387517965178,2.1256012394927213,0.008273792969260804,0.0,True,NONE
181,6,2,1.9673289292675005,15.755847636914249,1.9501204556422147,0.008934680656024948,0.008273792969260804,True,NONE
182,2,2,2.04155538246925,8.786536871962136,2.034120250123805,0.0074351323454452155,0.0,True,NONE
183,0,1,1.9617640843471398,0.4424513471365874,1.9533057185481177,0.008458365799022123,0.0,True,NONE
184,0,1,1.7527973435630955,0.26016494171208465,1.7394835756449607,0.004855402119112701,0.008458365799022123,True,NONE
185,5,2,1.8122152078709381,13.05090719854672,1.8035497894307642,0.008665418440173987,0.0,True,NONE
186,5,2,1.653527821444803,11.931246321335703,1.635007803840997,0.009854599163632042,0.008665418440173987,True,NONE
187,0,1,1.669992765992187,0.3966986352094057,1.6490748403379316,0.007604157736120527,0.013313767918134824,True,NONE
188,5,2,1.9769930111837744,13.785330520472273,1.9565231437441724,0.0019498498357959874,0.01852001760380603,True,NONE
189,1,1,1.2845953796638656,0.4454789651254346,1.2550188784827983,0.008658575526812132,0.020917925654255348,True,NONE
