task_index,vehicle_id,action,case,delay_s,energy_j,comm_delay_s,comp_delay_s,wait_delay_s,completed,failure_reason
129,veh_11,4,2,2.643214251511227,7.615928512327216,2.6344367998397025,0.0029233126089019024,0.005854139062622467,True,NONE
130,veh_11,3,2,2.035940087703459,6.949956153441272,2.0262806251269985,0.0032035828967051515,0.006455879679755289,True,NONE
131,veh_11,0,1,2.4947850377418392,0.36942345994526726,2.4805929278885044,0.006892350613327645,0.007299759240006972,True,NONE
132,veh_11,1,2,2.2983904184605812,10.130359565021267,2.2862400122907047,0.004675536177572951,0.00747486999230361,True,NONE
133,veh_11,5,2,1.9492018769785064,4.622197846261926,1.9351969977084396,0.005639068089236947,0.008365811180829979,True,NONE
134,veh_11,4,2,2.6684941084652767,7.619520941367419,2.658061202731091,0.0016554540626611222,0.00877745167152437,True,NONE
135,veh_11,3,2,2.685496152933763,9.347200619537386,2.667672467516162,0.008164222841141022,0.009659462576460439,True,NONE
136,veh_11,2,2,2.5741096828497136,10.180222100179016,2.5572423054989692,0.007095861507454597,0.00977151584328974,True,NONE
137,veh_11,4,2,2.3006580454674186,6.846461254198689,2.2827473513661074,0.007477788367125551,0.010432905734185493,True,NONE
138,veh_11,1,2,2.1915946849046932,9.480656155054737,2.178429057230849,0.0010152215039676653,0.01215040616987656,True,NONE
139,veh_11,1,2,1.7587674242254805,7.737687090709402,1.7416299962272528,0.0039718003243833675,0.013165627673844226,True,NONE
140,veh_5,0,1,0.7477144687799734,0.24874466880457524,0.7428881530344887,0.0048263157454846075,0.0,True,NONE
141,veh_5,2,2,0.7856016848009242,7.335028219664111,0.7809332904739249,0.00466839432699928,0.0,True,NONE
142,veh_5,3,2,0.7787168419987209,9.095816882320248,0.7709581617091547,0.007758680289566256,0.0,True,NONE
143,veh_5,4,2,0.9944614048435315,13.424079168447935,0.9849110483675431,0.009550356475988403,0.0,True,NONE
144,veh_5,5,2,0.9535934334660441,14.428669741560672,0.9461199678145604,0.007473465651483704,0.0,True,NONE
145,veh_5,6,2,0.973612386076862,16.241682806739618,0.9683403161454545,0.00527206993140748,0.0,True,NONE
146,veh_5,2,2,0.826022666154992,7.740834250732877,0.8147135358951567,0.0066407359328360316,0.00466839432699928,True,NONE
147,veh_5,0,1,0.7128060773704972,0.16684083682698556,0.7047839016688066,0.0031958599562059496,0.0048263157454846075,True,NONE
148,veh_5,6,2,0.7569099371361733,12.49824424127897,0.7487763576991361,0.002861509505629692,0.00527206993140748,True,NONE
149,veh_5,5,2,0.842525717889221,12.682343612811833,0.8271619010526747,0.007890351185062625,0.007473465651483704,True,NONE
150,veh_5,3,2,0.5599517743828302,6.375194232539205,0.5486215407354955,0.0035715533577683725,0.007758680289566256,True,NONE
151,veh_5,0,1,0.6196777399768729,0.30259962494206966,0.605724716719685,0.005930847555497456,0.008022175701690556,True,NONE
152,veh_5,6,2,0.58815746157233,9.796423735093391,0.5732849292043073,0.006738952930985406,0.008133579437037172,True,NONE
153,veh_5,4,2,0.6558523132450874,8.596925744604903,0.6435520396384415,0.0027499171306573835,0.009550356475988403,True,NONE
154,veh_5,2,2,0.5508688036256854,5.146384981324949,0.5336983033631839,0.005861370002666107,0.011309130259835312,True,NONE
155,veh_5,3,2,0.6729607384018552,7.744292863507383,0.6546223051612434,0.007008199593277178,0.011330233647334627,True,NONE
156,veh_5,4,2,0.6655035648376398,8.816886486244844,0.6469465765031561,0.006256714727838026,0.012300273606645788,True,NONE
