task_id,vehicle_id,task_size_mb,task_cpu_gcycles,deadline_s,primary_rsu,local_action,collab_action,local_case,collab_case,local_secondary_rsu,collab_secondary_rsu,local_delay_s,collab_delay_s,delay_diff_s,local_energy_j,collab_energy_j,energy_diff_j,local_completed,collab_completed,local_fail_reason,collab_fail_reason
11,veh_0,4421384.81982314,5826052.823092307,27.29731786693818,0,0,2,1,2,NONE,1,5.550304260953731,5.560199111166057,0.009894850212325501,0.34624209515375454,4.153670168377089,3.8074280732233348,True,True,NONE,NONE
19,veh_0,3944106.1557397805,2540247.833782873,26.091310056669883,0,0,2,1,2,NONE,1,4.959785314016332,4.964300006332744,0.0045146923164116615,0.176021253740571,3.5724459290614803,3.396424675320909,True,True,NONE,NONE
14,veh_0,3732056.4357702862,1412419.4529009599,27.045718362149234,0,0,2,1,2,NONE,1,4.697707982847157,4.699690422037521,0.001982439190364005,0.11699493719025458,3.3308152725516087,3.213820335361354,True,True,NONE,NONE
16,veh_0,2698372.6590830907,3501762.427990829,21.010014294097292,0,0,2,1,2,NONE,1,3.416770036604092,3.408100137705346,-0.00866989889874592,0.2086176888580375,2.532292336707899,2.3236746478498613,True,True,NONE,NONE
15,veh_0,2683694.8269546404,1718127.7923126474,22.893879636021072,0,0,2,1,2,NONE,1,3.40024971386813,3.3905943544975456,-0.009655359370584371,0.11925357256884564,2.43028856285048,2.3110349902816343,True,True,NONE,NONE
18,veh_0,2628521.092314463,9429891.289412446,22.669778220491132,0,0,2,1,2,NONE,1,3.3411215632826443,3.3262761355745,-0.014845427708144232,0.5041561670050866,2.767678888001373,2.2635227209962863,True,True,NONE,NONE
2,veh_0,2669632.2144464683,7090295.386806202,27.364712141640126,0,0,2,1,2,NONE,1,3.3992959125409397,3.3812593611542785,-0.01803655138666116,0.3876872124134893,2.6866123348984052,2.298925122484916,True,True,NONE,NONE
5,veh_0,2079607.9090515908,6848959.940015709,21.988376506866484,0,0,2,1,2,NONE,1,2.6729896619396447,2.646447699617246,-0.026541962322398582,0.3682888879685516,2.159120913880522,1.7908320259119705,True,True,NONE,NONE
4,veh_0,2089391.658314211,5548197.592930261,22.186379748036032,0,0,2,1,2,NONE,1,2.690694997272382,2.6614631878599906,-0.029231809412391563,0.3033723419916772,2.1026295385508313,1.7992571965591542,True,True,NONE,NONE
10,veh_0,2290149.130500392,6433534.282302019,28.474943663474598,0,0,2,1,2,NONE,1,2.9465867071630525,2.915866932029563,-0.030719775133489335,0.3501337582163488,2.322271096780784,1.9721373385644352,True,True,NONE,NONE
34,veh_1,4582339.106703494,7486496.374241752,20.114810219428197,0,0,2,1,2,NONE,1,3.4628291777170115,3.4985462508248597,0.03571707310784822,0.4088782455255153,4.354910375022425,3.94603212949691,True,True,NONE,NONE
25,veh_1,4629102.879418006,6898947.98765392,23.14677880798478,0,0,2,1,2,NONE,1,3.504990653430884,3.5376609537534605,0.03267030032257656,0.3798534514733859,4.366155701825822,3.9863022503524363,True,True,NONE,NONE
33,veh_1,4988364.14072029,9739705.398522563,25.29114345099137,0,0,2,1,2,NONE,1,3.7856336553826493,3.8165278427903218,0.03089418740767247,0.5246003549823505,4.8202765837704975,4.295676228788147,True,True,NONE,NONE
21,veh_1,4968570.051909786,6012547.693971816,26.399997598540928,0,0,2,1,2,NONE,1,3.7767203413469272,3.804437800236754,0.027717458889826574,0.3380932111375162,4.616723972839629,4.278630761702113,True,True,NONE,NONE
36,veh_1,3922885.395739424,4912887.256021945,21.115521735958765,0,0,2,1,2,NONE,1,2.9931278955068135,3.0093841096081606,0.016256214101347144,0.2752251359090612,3.653375781564368,3.3781506456553068,True,True,NONE,NONE
30,veh_1,3528578.8810293935,1424047.3788226112,20.90909412173794,0,0,2,1,2,NONE,1,2.697222544496954,2.709371206686983,0.012148662190028858,0.09780984806520776,3.13640767152987,3.0385978234646625,True,True,NONE,NONE
39,veh_1,4737883.518034462,3686003.123037696,28.70518569836767,0,0,2,1,2,NONE,1,3.612792594105449,3.633512051794484,0.020719457689034826,0.22002647574081655,4.300004005257944,4.079977529517127,True,True,NONE,NONE
35,veh_1,4045131.1070797243,3401426.709572885,25.369703304087952,0,0,2,1,2,NONE,1,3.0938195484253033,3.106872729740842,0.013053181315538787,0.20057391034367883,3.6839951379898177,3.4834212276461387,True,True,NONE,NONE
32,veh_1,3266479.900399052,4434573.578558831,20.63527706151957,0,0,2,1,2,NONE,1,2.511107102616571,2.5152377258661183,0.00413062324954705,0.2463597835991032,3.059253883574006,2.8128940999749026,True,True,NONE,NONE
40,veh_1,3916848.4845980154,2375553.4169467133,26.089702114381723,0,0,2,1,2,NONE,1,3.003897327505487,3.0124407532911435,0.008543425785656478,0.14831292223321701,3.521264946666435,3.372952024433218,True,True,NONE,NONE
29,veh_1,3198201.5154211917,9977838.458455993,22.193207591572833,0,0,2,1,2,NONE,1,2.471974733108226,2.469340688437643,-0.0026340446705828136,0.5230081699801239,3.27710507171218,2.754096901732056,True,True,NONE,NONE
22,veh_1,4053842.7529696235,7983999.203916203,28.428519201898098,0,0,2,1,2,NONE,1,3.125160586468448,3.125902804858418,0.0007422183899699064,0.4297682257946974,3.920691393777826,3.4909231679831287,True,True,NONE,NONE
23,veh_1,2687144.215892313,3839077.4325317373,20.321002439040377,0,0,2,1,2,NONE,1,2.0984317208206544,2.085485222759882,-0.012946498060772527,0.21221645779467085,2.5262218523301665,2.3140053945354957,True,True,NONE,NONE
24,veh_1,2803222.627927108,9486187.42901549,22.109828435863264,0,0,2,1,2,NONE,1,2.195447591703163,2.1787575967118933,-0.016689994991269774,0.49544725445339344,2.909412327389862,2.4139650729364686,True,True,NONE,NONE
27,veh_1,2794640.4994941573,6052313.207468357,22.466275076939834,0,0,2,1,2,NONE,1,2.195028495008261,2.1752384393355633,-0.019790055672697537,0.3236888292770131,2.73026349444415,2.406574665167137,True,True,NONE,NONE
37,veh_1,3361171.1189876194,8882676.463403746,29.538159275210802,0,0,2,1,2,NONE,1,2.631107279014124,2.611754502721403,-0.019352776292720808,0.4694789531492072,3.3639153794842622,2.894436426335055,True,True,NONE,NONE
38,veh_1,2790167.152253272,2607866.9247711822,25.005861130502982,0,0,2,1,2,NONE,1,2.203145881742166,2.1775720326258377,-0.02557384911632843,0.15143278357561163,2.554155273788454,2.402722490212842,True,True,NONE,NONE
26,veh_1,3186895.7031819928,5129666.673286589,29.145475897405433,0,0,2,1,2,NONE,1,2.5074312990070857,2.482709001880908,-0.024722297126177573,0.28051432850729824,3.024875351399512,2.7443610228922135,True,True,NONE,NONE
