episode,seed,geometry,reward,moving_avg_reward,actor_loss,critic_loss,entropy,total_loss,steps,cum_opt_steps,ep_wall_time_sec
31,2,grid_200m,-1491.3703974441567,-1488.3385727030302,0.5461695790290833,14109.54296875,-0.0,7055.31787109375,600,31,2.8255
32,2,grid_200m,-1503.9763750682487,-1488.1587734656414,-0.05216110870242119,13979.197265625,-0.0,6989.54638671875,600,32,2.8863
33,2,grid_200m,-1456.4432252275944,-1487.3218580336134,-0.3341413736343384,11395.75390625,-0.0,5697.54296875,600,33,2.9876
34,2,grid_200m,-1500.951524210133,-1487.691222174018,0.006582926958799362,11908.7509765625,-0.0,5954.3818359375,600,34,3.1043
35,2,grid_200m,-1483.1937449889833,-1487.652136334053,-0.23127232491970062,10829.408203125,-0.0,5414.47265625,600,35,3.0797
36,2,grid_200m,-1462.867798976174,-1486.6375728219714,-0.3543676435947418,12039.693359375,-0.0,6019.4921875,600,36,2.9033
37,2,grid_200m,-1462.4069525628356,-1485.1393322935016,-0.4985329806804657,10379.107421875,-0.0,5189.05517578125,600,37,2.901
38,2,grid_200m,-1465.5022274157777,-1483.8995855666076,0.017333481460809708,10754.193359375,-0.0,5377.11376953125,600,38,2.8897
39,2,grid_200m,-1487.6680932265529,-1483.5597379997198,0.4051189124584198,9985.568359375,2.01727339600132e-38,4993.189453125,600,39,2.9462
40,2,grid_200m,-1489.2205235326812,-1483.2499501149894,-0.2429478019475937,10546.775390625,-0.0,5273.14453125,600,40,3.0604
41,2,grid_200m,-1463.479903320639,-1482.4314418224055,-0.0005405425908975303,9931.0732421875,9.29772616987519e-22,4965.5361328125,600,41,3.0677
42,2,grid_200m,-1454.8943702208016,-1482.3250618369077,-0.27533936500549316,10534.0595703125,-0.0,5266.75439453125,600,42,2.7718
43,2,grid_200m,-1474.5292899023796,-1480.7421557066255,-0.001032510888762772,9063.41015625,-0.0,4531.7041015625,600,43,2.8855
44,2,grid_200m,-1479.695695100866,-1480.749271993514,-0.17480777204036713,9038.5673828125,-0.0,4519.10888671875,600,44,3.0397
45,2,grid_200m,-1475.170039028326,-1480.0939228376383,-0.12949977815151215,9931.8271484375,-0.0,4965.7841796875,600,45,2.8539
46,2,grid_200m,-1494.2019915635926,-1480.7815252902685,0.057693514972925186,9102.16015625,-0.0,4551.1376953125,600,46,2.9016
