config_name,seed,lr,hidden_size,num_layers,episodes,entropy_coeff,mean_delay,mean_energy,completion_ratio
HiddenDim_Small (64),45,0.0002,64,3,50,0.0,1.9604395866859636,5.8577082650610235,0.985
HiddenDim_Small (64),46,0.0002,64,3,50,0.0,2.095543258449544,7.50990057000774,0.975
HiddenDim_Large (256),42,0.0002,256,3,50,0.0,2.108097621581676,8.333713370589585,0.965
HiddenDim_Large (256),43,0.0002,256,3,50,0.0,2.0290743524811212,3.133870907378253,0.985
HiddenDim_Large (256),44,0.0002,256,3,50,0.0,1.9992340443647916,6.917767410050082,0.99
HiddenDim_Large (256),45,0.0002,256,3,50,0.0,1.9954555037325397,7.524561130389945,0.975
HiddenDim_Large (256),46,0.0002,256,3,50,0.0,2.0947076004889933,8.116787218361239,0.97
Depth_2Layers,42,0.0002,128,2,50,0.0,2.045790111136122,3.5887596690207717,0.965
Depth_2Layers,43,0.0002,128,2,50,0.0,2.0849868556393836,7.8073661480439736,0.985
Depth_2Layers,44,0.0002,128,2,50,0.0,1.989931617979394,6.188555829143395,0.99
Depth_2Layers,45,0.0002,128,2,50,0.0,1.9866661787878461,8.05116273064843,0.975
Depth_2Layers,46,0.0002,128,2,50,0.0,2.105287952768283,8.484370001881627,0.97
Depth_4Layers,42,0.0002,128,4,50,0.0,2.0421423675885864,3.1432697110272194,0.965
Depth_4Layers,43,0.0002,128,4,50,0.0,2.0890706460289254,7.694887631957693,0.985
Depth_4Layers,44,0.0002,128,4,50,0.0,2.0382304285402513,7.311746016198273,0.99
Depth_4Layers,45,0.0002,128,4,50,0.0,1.9830287441817456,6.4160800737866905,0.985
Depth_4Layers,46,0.0002,128,4,50,0.0,2.0798175795535387,8.300739597606277,0.97
Episodes_25,42,0.0002,128,3,25,0.0,2.0681526863932613,4.957666173352194,0.965
Episodes_25,43,0.0002,128,3,25,0.0,2.047602339460905,4.941537893531108,0.98
Episodes_25,44,0.0002,128,3,25,0.0,2.0258304697287186,8.068201199202651,0.99
Episodes_25,45,0.0002,128,3,25,0.0,1.985565256229949,7.6534180710414885,0.975
Episodes_25,46,0.0002,128,3,25,0.0,1.9990343961197323,1.5178029495043857,0.975
Episodes_100,42,0.0002,128,3,100,0.0,2.0709065286083996,4.238400939957803,0.965
Episodes_100,43,0.0002,128,3,100,0.0,2.0421468600107566,5.455367870293455,0.985
Episodes_100,44,0.0002,128,3,100,0.0,2.0107640841867958,8.055932886774727,0.99
Episodes_100,45,0.0002,128,3,100,0.0,1.9978442147866877,7.826163843640754,0.975
Episodes_100,46,0.0002,128,3,100,0.0,2.0003490772913612,1.261438344726787,0.975
Entropy_0.01,42,0.0002,128,3,50,0.01,2.0683347357440702,5.329692555434553,0.965
Entropy_0.01,43,0.0002,128,3,50,0.01,2.051573779401324,6.134956488068774,0.985
Entropy_0.01,44,0.0002,128,3,50,0.01,2.0180706979314804,8.07267248463472,0.99
Entropy_0.01,45,0.0002,128,3,50,0.01,1.9915066002733526,7.804504683083326,0.975
Entropy_0.01,46,0.0002,128,3,50,0.01,2.0082056983707535,3.446849564884402,0.97
Entropy_0.05,42,0.0002,128,3,50,0.05,2.0748875567955674,6.261281867990833,0.965
Entropy_0.05,43,0.0002,128,3,50,0.05,2.0329008322991315,4.737394547017906,0.985
Entropy_0.05,44,0.0002,128,3,50,0.05,2.0270210962650683,8.086625854901492,0.99
Entropy_0.05,45,0.0002,128,3,50,0.05,1.969244202440705,7.942580279426571,0.975
Entropy_0.05,46,0.0002,128,3,50,0.05,1.9992307428116434,1.6196058215568894,0.975
