experiment_id,source_artifact,algorithm,geometry,workload,seed,realization_hash,checkpoint_hash,git_sha,tasks_generated,tasks_completed,completion_ratio,mean_delay_s,mean_energy_j,comm_delay_s,comp_delay_s,wait_delay_s
grid_200m_CoTOP_w20_seed0,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,grid_200m,w20,0,20c11357f4d1d844b7a44ea5044c04fcb20af065fe6249474ab04119eab214b9,74a06c7b902122735c8429eb1d7db973d09ee61cfdb97728ee1f40d00d462979,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,200,200,1.0,0.2677,0.1404,0.265,0.0028,0.0
grid_200m_CoTOP_w20_seed1,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,grid_200m,w20,1,8490421c85eda64a853c6814ddd2e254df30cc816592cce1d778e8380c6fe3ed,88485843e6f05cd601773058c19846e9df85684bda9bc57f233252e3d850a5f1,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,200,200,1.0,0.2619,0.1411,0.2591,0.0028,0.0
grid_200m_CoTOP_w20_seed2,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,grid_200m,w20,2,baaf5ad60a61abf81aa6420695172ae5a225d02d51c1d9a9e809af740910c3d9,5b0c1d91cb6d79bd066b9bd1aeb3a26dd7ca12c41719b42c573aa6d9a027c463,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,200,200,1.0,0.2501,0.1422,0.2473,0.0028,0.0
grid_200m_CoTOP_w20_seed3,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,grid_200m,w20,3,c87ffc566d12c41fee78283f3c9d06bdd7cbaab0827f9c2786b56392a69c3dd8,ddc2e94c4694f0d99a2b191cfc3b303ae571db508d6dcc6a36725d9855062d43,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,200,200,1.0,0.2361,0.1363,0.2334,0.0027,0.0
grid_200m_CoTOP_w20_seed4,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,grid_200m,w20,4,589d34324abcbcb03a8e18913ab924daff3f3d52913d345a584e667191895189,04b915a718fbb467007b20c067d41481be215a18b8413dbef97bfb8f6b637f8f,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,200,200,1.0,0.268,0.138,0.2653,0.0027,0.0
grid_200m_CoTOP_w30_seed0,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,grid_200m,w30,0,19430c329c65946bf02a543a57403f3554a924148b80e42d126aca9c1735c890,05bdfb27c0ca52937abd22796979d0de4060440b0bf8b6b5e6ca31ae1671e275,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,300,300,1.0,0.2937,2.0999,0.2727,0.021,0.0
grid_200m_CoTOP_w30_seed1,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,grid_200m,w30,1,a4f8e883710373708659204b013aa06b55333c27b5b86ba8485b3904b24764ba,03562bb2143e0ce5266a1cef1c070d156348495eb69273a0c34a7bf451e6f7e7,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,300,300,1.0,0.2765,0.141,0.2738,0.0028,0.0
grid_200m_CoTOP_w30_seed2,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,grid_200m,w30,2,7e2fdfb718c2506a4403422af3116182596f1f199f0f95190c7097c71376609f,f363a008e1369b360205e6ff8a1383aa38a87b1daf4d460a96b73c3c978fbe50,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,300,300,1.0,0.2802,2.0166,0.2599,0.0202,0.0
grid_200m_CoTOP_w30_seed3,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,grid_200m,w30,3,c3017e2ab7a99cf10ec2ed7dae7da53626f1df66c049b4b135d0b4677d6eaee3,5aaf8b5565e1a5b39e83a3291afbd419e5191556df18841f1319fc139d3c111c,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,300,300,1.0,0.2723,1.9641,0.2526,0.0198,0.0
grid_200m_CoTOP_w30_seed4,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,grid_200m,w30,4,ed79bf3a948868e9d980ee441cbaeb72b2a3fb0456d1cf721d48d1f77c97599e,50b46e2e3bf5b8a430c6dfad59b7a7e666ee59694dddb51f2ba29d0479cb3621,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,300,300,1.0,0.2956,2.0468,0.2751,0.0205,0.0
