ablation_condition,geometry,workload,seed,realization_hash,mean_delay,std_delay,mean_energy,std_energy,completion_ratio,collab_ratio,N_generated,N_completed,N_failed,disabled_code_path,invariants_passed
w/o MD,grid_200m,30,4,ed79bf3a948868e9d980ee441cbaeb72b2a3fb0456d1cf721d48d1f77c97599e,0.7275,0.2687,3.9548,1.2042,1.0,0.9667,300,300,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,grid_200m,30,4,ed79bf3a948868e9d980ee441cbaeb72b2a3fb0456d1cf721d48d1f77c97599e,0.3137,0.0977,2.0468,0.6013,1.0,0.9667,300,300,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,grid_200m,30,4,ed79bf3a948868e9d980ee441cbaeb72b2a3fb0456d1cf721d48d1f77c97599e,0.3763,0.1291,0.1388,0.064,1.0,0.0,300,300,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,grid_200m,40,0,46148cdd621e3648e3a6a785cc820a9b28fcaa477017e5adb878ef20b20fa801,0.3714,0.1038,1.9406,0.9037,1.0,0.8525,400,400,0,None (Baseline Full Architecture),True
w/o MD,grid_200m,40,0,46148cdd621e3648e3a6a785cc820a9b28fcaa477017e5adb878ef20b20fa801,0.8503,0.3216,3.7432,1.8026,1.0,0.8525,400,400,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,grid_200m,40,0,46148cdd621e3648e3a6a785cc820a9b28fcaa477017e5adb878ef20b20fa801,0.3579,0.1131,1.9406,0.9037,1.0,0.8525,400,400,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,grid_200m,40,0,46148cdd621e3648e3a6a785cc820a9b28fcaa477017e5adb878ef20b20fa801,0.3954,0.1346,0.1381,0.0642,1.0,0.0,400,400,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,grid_200m,40,1,f01abcdc5304947d68420ab99e942b03822d59e1f8f5122d72a3eb78941cce87,0.4255,0.1235,1.813,1.0433,1.0,0.7625,400,400,0,None (Baseline Full Architecture),True
w/o MD,grid_200m,40,1,f01abcdc5304947d68420ab99e942b03822d59e1f8f5122d72a3eb78941cce87,0.8749,0.3316,3.4843,2.0819,1.0,0.7625,400,400,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,grid_200m,40,1,f01abcdc5304947d68420ab99e942b03822d59e1f8f5122d72a3eb78941cce87,0.4138,0.1371,1.813,1.0433,1.0,0.7625,400,400,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,grid_200m,40,1,f01abcdc5304947d68420ab99e942b03822d59e1f8f5122d72a3eb78941cce87,0.4055,0.1321,0.1416,0.0673,1.0,0.0,400,400,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
